偎	亻田一󰀖
焙	火立口󰀝
菪	艹宀石󰀘
鄙	口十囗阝
干	干一一丨
桢	木󰀥贝󰁶
蹲	口止丷寸
股	月几又󰁶
邡	方阝󰀢
擅	扌亠囗一
顺	川丆贝󰁶
首	䒑丿目󰀘
霪	󰀙氵爫士
棍	木日󰁴匕
珙	王󰁺八󰁶
妖	女丿大󰁶
圪	土𠂉乙󰁀
斩	车斤󰀢
蜢	虫子皿󰀝
眢	夕⺋目󰀘
佣	亻用󰀢
鹪	亻󰁷灬一
鸲	勹口勹一
菹	艹氵󰀐一
横	木󰁺由八
蛱	虫一丷大
尺	尸󰂃󰀦
郡	󰁬丿口阝
蠢	三人日虫
串	口口丨󰀵
枕	木冖󰁜󰁀
廖	广羽人彡
鞍	廿󰀜宀女
融	一口冂虫
翎	人丶󰁻羽
面	丆冂〢三
俎	人人󰀐一
睢	目亻󰁷󰀝
担	扌日一󰀝
阱	阝二󰀯󰀢
绲	纟日󰁴匕
嘱	口尸丿丶
倡	亻日日󰀝
仲	亻口丨󰀢
裢	衤󰁧车辶
逡	厶八夂辶
猩	犭ノ日主
编	纟丶尸艹
他	亻也󰁀
坍	土󰀼亠󰀝
代	亻
棺	木宀丨󰁃
磺	石󰁺由八
厅	厂丁󰀵
鄹	耳又乑阝
绣	纟禾乃ノ
柄	木一冂人
媪	女日皿󰀝
躲	丿󰀽三木
梢	木⺌月󰀝
溲	氵
噱	口󰅋七󰀓
亲	立木󰁧
蠕	虫󰀙丆〢
颢	曰󰁸小贝
袢	衤󰁧䒑十
荩	艹尸󰂃󰁦
砍	石⺈人󰁶
低	亻󰁚󰀁丶
堍	土⺈口丶
兹	䒑ㄠㄠ󰁧
团	囗󰀛丿󰀏
酹	西一爫寸
腹	月𠂉日夂
捅	扌󰁻用
笆	⺮巴󰀅
孪	亠󰁗子󰀘
歪	丆卜一止
奢	大土丿日
耔	三󰅇子󰀝
途	人一木辶
怔	忄一止󰀝
祢	礻󰁶⺈小
芩	艹人丶乛
美	丷王大󰁧
而	丆冂〢󰀬
堕	阝月土
倌	亻宀丨󰁃
澎	氵士口彡
点	󰀥口灬󰁧
漳	氵立早󰀢
缳	纟罒一󰀔
瘢	疒丿󰁪又
阢	阝一儿󰁀
邹	⺈彐阝󰀢
择	扌又二丨
凡	几丶󰀦
视	礻󰁶ㄇ󰁜
秆	禾干󰀢
笪	⺮日一󰀘
投	扌几又󰁶
觖	⺈用ユ人
示	二小󰁧
从	人人󰁶
夺	大寸󰁧
朲	木人󰁶
黎	禾勹丿氺
蚍	虫󰁴匕󰁀
踣	口止立口
院	阝宀二儿
儡	亻田田田
蟪	虫一日心
韪	日一󰁾丨
稆	禾口口󰀝
倩	亻主月󰀝
関	門䒑大󰀦
跣	口止丿儿
伎	亻十又󰁶
噍	口亻󰁷灬
姆	女母󰁶
虍	󰅋七󰁫
鼎	目󰁕丆󰁈
刹	乂木刂󰀢
癍	疒王文王
瞪	目癶一䒑
枪	木人⺋󰁀
聩	耳口丨贝
蜕	虫丷口儿
酡	西一宀匕
朕	月䒑大󰁶
彖	彑󰀓󰁧
痢	疒禾刂󰀵
趣	土󰁾耳又
涣	氵⺈ㄇ大
翳	匚𠂉大羽
禺	日冂丨丶
垲	土山己󰁀
乎	丿丷󰀛󰀵
眍	目匚乂󰁶
服	月卩又󰁶
鹎	白丿十一
迳	ス工辶󰀌
抡	扌人匕󰁀
芡	艹⺈人󰁧
硪	石丿扌丶
雕	󰀼土口󰁷
辖	车宀三口
婢	女白丿十
赣	立早夂贝
锢	钅囗古󰀝
浣	氵宀二儿
锪	钅勹󰁤心
赫	土󰁖土󰁖
稚	禾亻󰁷󰀝
空	宀八工󰀘
囍	士口䒑口
婺	󰁻乛亅女
盍	土厶皿󰀘
包	勹巳󰁫
雍	亠󰁲丿󰁷
狡	犭ノ亠乂
界	田人󰀯󰀬
敌	丿古夂󰁶
苡	艹󰁐丶人
糖	米广󰁬口
卸	󰅎止卩󰀢
欹	大丁口人
圻	土斤󰀢
荸	艹十冖子
蜻	虫主月󰀝
响	口丿冂口
操	扌口口木
舡	丿󰁪工󰀝
戡	艹三八戈
淹	氵大日乚
跹	口止丿辶
疸	疒日一󰀌
泖	氵󰁚丿卩
劲	ス工力ノ
熄	火丿目心
镌	钅亻󰁷乃
旌	方𠂉丿主
嗌	口䒑八皿
阕	门癶一大
不	丆卜󰀦
剡	火火刂󰀢
鹆	八人口一
蘅	艹彳󰁢丁
瘅	疒丷曰十
狲	犭ノ孑小
崖	山厂土土
狸	犭ノ日土
阌	门爫冖又
赍	十人人贝
藕	艹三󰅇丶
浍	氵人二厶
孢	孑勹巳󰁀
止	止丨一一
筢	⺮扌巴󰀅
驻	󰀊󰀞丶王
病	疒一冂人
维	纟亻󰁷󰀝
嗅	口丿目犬
旅	方𠂉󰀕󰁶
了	了乛亅
筹	⺮三丿寸
歹	一夕󰀦
茸	艹耳󰀘
瘕	疒󰁃丨又
湖	氵古月󰀝
乖	丿十丬匕
钍	钅土󰀝
握	扌尸一土
叡	󰀥冖一又
菡	艹了󰀪凵
联	耳䒑大󰁶
缴	纟白方夂
艺	艹乙󰀅
颅	󰀥尸丆贝
伴	亻䒑十󰀢
割	宀三丨刂
忆	忄乙󰁀
稳	禾⺈彐心
色	⺈巴󰀅
尹	󰁬丿󰀏
摸	扌艹日大
葸	艹田心󰁧
锈	钅禾乃ノ
庖	广勹巳󰁫
篪	⺮⺁󰅋几
猡	犭ノ罒夕
利	禾刂󰀢
匡	匚王󰀌
挡	扌⺌彐󰀝
桕	木臼󰀝
硕	石丆贝󰁶
珑	王ヒ丶
崤	山乂月
妪	女匚乂󰁶
腴	月臼人󰁶
璺	󰀗ㄇ一丶
妈	女󰀊一󰀝
轴	车由󰀝
罴	罒土厶灬
否	丆卜口󰀘
醺	西一丿灬
佴	亻耳󰀝
聚	耳又乑󰁧
潴	氵犭ノ日
姻	女囗大󰁶
冲	冫口丨󰀢
芸	艹二厶󰁧
硅	石土土󰀝
衅	丿皿䒑十
豪	󰁸冖豕󰁧
觳	士冖一又
奶	女乃ノ
骞	宀󰀀八一
锍	钅亠厶󰀸
岌	山乃󰂃󰁧
簏	⺮广󰁃匕
鹬	󰁻乛亅一
订	讠丁󰀢
箢	⺮宀夕⺋
赖	一口󰅇贝
卡	上卜󰁧
垄	ヒ丶土
跟	口止彐󰀖
豹	豸勹丶󰁶
邋	巛囗乂辶
拗	扌ㄠ力ノ
沩	氵丶丿丶
锤	钅ノ一士
伛	亻匚乂󰁶
离	文凵冂厶
苏	艹力八󰁧
绾	纟宀丨󰁃
叟	臼丨又󰁧
跫	工几丶󰁾
庭	广丿士廴
妻	一󰁬丨女
榻	木日羽󰀝
幺	ㄠㄠㄠㄠ
妳	女⺈小󰁶
焚	木木火󰁧
毒	主母󰁧
洎	氵丿目󰀝
讹	讠亻ヒ󰁀
容	宀八人口
崎	山大丁口
蓍	艹土丿日
鲎	󰀧冖󰁢一
蓠	艹文凵厶
诲	讠𠂉母󰁶
憩	丿古丿心
颊	一丷大贝
陆	阝二山󰀢
婪	木木女󰀘
姣	女亠八乂
舛	夕󰀂丨󰀢
另	口力󰁣
铰	钅亠八乂
摩	广木木手
牺	ノ扌西󰀝
镀	钅广廿又
淆	氵乂月
塄	土罒方ノ
聋	ヒ丶耳
戤	乃又皿戈
樨	木尸氺丨
琢	王一󰀓丶
娜	女刀二阝
岱	亻󰀁丶山
襻	衤󰁧木手
砻	ヒ丶石
壅	亠󰁲丿土
女	女女女女
醚	西一米辶
装	丬士亠󰀔
鄄	覀土阝󰀢
萸	艹臼人󰁧
籹	米女󰀝
弑	乂木󰀁丶
宕	宀石󰀘
荔	艹力力力
箕	⺮艹三八
骘	阝止󰀤一
凸	丨一丨一
诎	讠凵山󰀢
知	𠂉大口󰀝
铎	钅又二丨
鳓	󰁢󰀞廿力
每	𠂉母󰁧
瓿	立口一丶
甓	尸口立丶
啸	口󰁬󰅏󰀯
洹	氵一日一
畸	田大丁口
费	弓󰀯贝󰁧
仆	亻卜󰁶
细	纟田󰀝
怵	忄木丶󰁶
鞅	廿󰀜ㄇ大
螅	虫丿目心
幼	ㄠ力ノ
肪	月方ノ
尢	乚󰁫
矶	石几󰁀
疫	疒几又󰀦
兲	王八󰁧
铡	钅贝刂󰀢
谢	讠丿󰀽寸
殓	一夕人一
酲	西一口王
蕾	艹󰀙田󰀘
茔	艹冖土󰀘
啡	口丨三三
啕	口勹󰅎山
牝	ノ扌匕
诱	讠禾乃ノ
獍	犭ノ立儿
谎	讠艹亠󰀸
哿	力口丁口
瑗	王爫一又
篱	⺮文凵厶
跺	口止几木
嚏	口十冖󰁾
葫	艹古月󰀘
笼	⺮ヒ丶
既	彐厶󰀂󰁜
谪	讠亠丷古
纛	主母󰀣小
育	亠厶月󰀘
缆	纟〢𠂉󰁜
悲	三〢三心
傲	亻主󰁡夂
解	⺈用刀丨
坊	土方ノ
搡	扌又又木
厍	厂车󰀵
豸	豸丿丶丿
吡	口󰁴匕󰁀
躯	丿󰀽三乂
殳	几又󰁧
勖	曰目力ノ
鳢	󰁢󰀞ㄇ䒑
叔	上小又󰁶
蠊	虫广䒑󰁗
莨	艹丶彐󰀖
筋	⺮月力󰁣
萍	艹氵一十
谕	讠人一刂
甑	丷󰀺日丶
氕	󰅎⺄丿󰁣
烁	火丿󰄃小
兜	白󰁚󰁃儿
栊	木ヒ丶
啻	亠丷冖口
豆	一口䒑󰀘
粹	米亠人十
搅	扌󰀧冖󰁜
抚	扌二󰁜󰁀
死	一夕匕󰁫
呦	口ㄠ力ノ
碳	石山火
铸	钅三丿寸
底	广󰁚󰀁丶
梳	木亠厶󰀸
槌	木亻󰁃辶
臁	月广䒑󰁗
粢	冫⺈人米
捍	扌日干󰀢
岢	山丁口󰀘
慵	忄广󰁬丨
瓴	人丶󰁻丶
溅	氵贝二丶
鲢	󰁢󰀞车辶
葡	艹勹一丶
孕	乃子󰀘
筏	⺮亻戈󰁧
哦	口丿扌丶
舂	三人臼󰀘
珍	王人彡ノ
牢	宀󰅎丨
瓷	冫⺈人丶
筲	⺮⺌月󰀘
莱	艹一米󰁧
隽	亻󰁷乃󰁣
鲆	󰁢󰀞一十
茅	艹󰁻乛丿
唸	口人丶心
菅	艹宀丨󰁃
甸	勹田󰀌
攸	亻丨夂󰁶
锸	钅丿十臼
蔸	艹白󰁚儿
踢	口止日󰁤
酌	西一勹丶
嫡	女亠丷古
骜	主󰁡夂一
望	亠󰁐月王
须	彡丆贝󰁶
疡	疒ㄋ󰁤󰀏
赢	亠󰄃口丶
刈	乂刂󰀢
名	夕口󰀘
孝	土丿子󰀘
芰	艹十又󰁧
跤	口止亠乂
斡	十早人十
罘	罒丆卜󰁧
跖	口止石󰀝
骥	󰀊󰀞丬八
毪	丿二乚丨
叱	口ヒ󰁀
击	二山󰀵
子	子子子子
欲	八人口人
鬲	一口冂丨
丹	󰀼亠󰀌
犍	ノ扌󰁬廴
甍	艹罒冖丶
痂	疒力口󰀌
嵊	山禾丬匕
膪	月亠丷口
俳	亻丨三三
跆	口止厶口
阀	门亻戈󰀦
軎	車口󰀘
隅	阝日冂丶
癸	癶一大󰁧
踹	口止山〢
鸹	丿古勹一
嚅	口󰀙丆〢
财	贝󰀛丿ノ
索	十冖ㄠ小
搴	宀󰀀八手
恺	忄山己󰁀
罅	󰅎山󰅋󰀛
痕	疒彐󰀖󰀦
账	贝丿七󰂃
嗡	口八厶羽
繁	𠂉母夂小
陕	阝一丷大
艘	丿󰁪臼又
魔	广木木厶
慷	忄广󰁬氺
猱	犭ノ󰁻木
汾	氵八刀ノ
嫘	女田ㄠ小
漓	氵文凵厶
迓	󰀂亅丿辶
才	󰀛丿󰀏
牍	丿丨一大
杩	木󰀊一󰀝
撸	扌󰁢一日
咸	厂一口丶
悔	忄𠂉母󰁶
石	石一丿一
柳	木󰁚丿卩
际	阝二小󰁶
蒸	艹了󰀩灬
実	宀三人󰁧
豢	䒑大一󰀓
音	立日󰀘
哎	口艹乂󰁶
锡	钅日勹󰁤
航	丿󰁪亠几
侃	亻口󰀸󰁀
蔡	艹󰁯二小
巢	巛日木󰁧
蓦	艹日大一
劢	一󰁡力ノ
淖	氵󰀥早󰀢
苔	艹厶口󰀘
笕	⺮ㄇ󰁜󰀅
拔	扌又丶
膺	广亻亻月
瓦	一󰁐󰁊丶
捱	扌厂土土
危	⺈厂⺋󰀅
诚	讠厂𠃌丶
篚	⺮匚丨三
秀	禾乃󰁣
援	扌爫一又
讲	讠二󰀯󰀢
渡	氵广廿又
庾	广臼人󰀦
拢	扌ヒ丶
骣	󰀊󰀞尸子
枳	木口八󰁶
瞳	目立日土
邳	丆卜󰀞阝
但	亻日一󰀝
闸	门甲󰀵
前	䒑月刂󰀬
螳	虫⺌冖土
荇	艹彳一丁
磬	士󰁅几石
镡	钅覀早󰀢
瞻	目⺈厂言
官	宀丨󰁃󰁃
世	廿󰄃󰁫
帖	冂丨󰀥口
渖	氵宀曰丨
煲	亻口木火
冀	丬匕田八
哽	口一日乂
咱	口丿目󰀝
汲	氵乃󰂃󰁶
娶	耳又女󰀘
讴	讠匚乂󰁶
叛	丷󰀠⺁又
廪	广亠囗小
拍	扌白󰀝
狍	犭ノ勹巳
苍	艹人⺋󰀅
脲	月尸水󰁶
蟊	󰁻乛亅虫
扭	扌󰁈丨二
钱	钅戋
瞍	目臼丨又
坳	土ㄠ力ノ
盅	口丨皿󰀘
律	彳󰁬二丨
杳	木日󰀘
靳	廿󰀜斤󰀢
瘸	疒力口人
辆	车一冂人
雅	󰀂亅丿󰁷
坻	土󰁚七丶
蜚	三〢三虫
斐	三〢三文
骠	󰀊󰀞覀小
呖	口厂力ノ
蝻	虫十冂十
镓	钅宀一󰀓
碴	石木日一
寅	宀一由八
瑙	王巛丿乂
鞲	廿口十土
夹	一丷大󰀦
坑	土亠几󰁀
廨	广⺈月󰀟
廉	广䒑󰁬󰁗
谛	讠亠丷丨
腔	月宀八工
瞀	󰁻乛亅目
闯	门󰀊一󰀌
馕	⺈󰁐一󰀔
树	木又寸󰁶
泺	氵丿󰄃小
榕	木宀八口
兔	⺈口󰁜丶
蝠	虫一口田
涅	氵日土󰀝
镄	钅弓󰀯贝
馍	⺈󰁐艹大
腌	月大日乚
煌	火白王󰀝
榍	木尸⺌月
妍	女一廾󰀢
弼	弓丆日弓
更	一日乂󰀦
麂	广󰁃〢几
骏	󰀊󰀞厶夂
天	一大󰀦
慨	忄彐厶󰁜
煨	火田一󰀖
似	亻󰁐丶人
麒	广󰁃〢八
溷	氵囗一󰀓
险	阝人一一
驰	󰀊󰀞也󰁀
切	七刀ノ
塘	土广󰁬口
统	纟亠厶儿
靡	广木木三
飕	几乂臼又
衢	彳目目丁
磕	石土厶皿
脔	亠󰁗冂人
壕	土󰁸冖󰀓
棕	木宀二小
藐	艹豸白儿
胁	月力八󰁶
觏	󰀀ㄇ土󰁜
鳅	󰁢󰀞禾火
泅	氵囗人󰁶
糅	米󰁻乛木
狭	犭ノ一大
黢	󰀹土灬夂
滢	氵艹冖丶
绢	纟口月󰀝
韩	十日十丨
佼	亻
矩	𠂉大匚󰁃
柩	木匚ク丶
扰	扌乚丶
轼	车󰀁工丶
榉	木󰀧一󰀟
潼	氵立日土
别	口力刂󰀢
捌	扌口力刂
衍	彳氵一丁
彪	󰅋七几彡
数	米女夂󰁶
韬	二𠃌丨臼
佤	亻一󰁐丶
嗰	口亻囗古
燔	火丿米田
懔	忄亠囗小
疯	疒几乂󰀦
羁	罒廿口一
功	工力ノ
沥	氵厂力ノ
杉	木彡ノ
辔	车纟纟口
蕺	艹口耳丶
里	日土󰀌
犟	弓口虫󰀟
芟	艹几又󰁧
陡	阝土󰁾󰁶
凌	冫土八夂
臌	月士口又
稍	禾⺌月󰀝
旰	日干󰀢
痰	疒火火󰀦
趱	土󰁾丿贝
闰	门王󰀌
烨	火亻ヒ十
胨	月󰀂小󰁶
墩	土󰁸孑攵
惨	忄厶大彡
机	木几󰁀
貅	豸亻木󰁶
坶	土母󰁶
恨	忄彐󰀖󰁶
肄	匕𠂉大󰀟
魃	白󰁜厶丶
鳘	𠂉母夂一
纷	纟八刀ノ
熔	火宀八口
山	山山山山
饕	口一ㄅ󰀖
琶	王王巴󰀅
奎	大土土󰀘
缡	纟文凵厶
奕	亠󰁖大󰁧
憔	忄亻󰁷灬
垡	亻戈土󰀘
潢	氵󰁺由八
赅	贝亠ㄥ人
建	󰁬󰀟廴󰀵
堡	亻口木土
肓	亠󰄃月󰀘
册	󰀼󰀼一󰀌
佢	亻匚󰁃󰀝
舨	丿󰁪⺁又
饩	⺈󰁐󰅎⺄
闶	门亠几󰁫
铖	钅厂𠃌丶
翼	羽田󰁺八
睡	目ノ一士
妞	女󰁈丨二
善	丷󰅆䒑口
伙	亻火󰁶
器	口口大口
晨	日厂二󰀖
雳	󰀙厂力󰁣
踩	口止爫木
鸩	冖󰁜勹一
鲕	󰁢󰀞丆〢
裳	⺌冖口󰀔
硌	石夂口󰀝
桌	󰀥日木󰁧
塌	土日羽󰀝
遘	󰀀冂土辶
豺	豸󰀛丿ノ
鼢	臼󰁐󰁦刀
蘼	艹广木三
行	彳一丁󰀢
帝	亠丷冖丨
鲅	󰁢󰀞丶
楞	木罒方ノ
缢	纟䒑八皿
摄	扌耳又又
裣	衤󰁧人一
伢	亻󰀂亅丿
戋	二󰅅丶󰀦
贱	贝戋󰁥
镰	钅广䒑󰁗
洱	氵耳󰀝
脊	󰀪人月󰀘
垂	ノ一艹士
蓖	艹丿囗匕
轷	车丿丷󰀛
绊	纟䒑十󰀢
貘	豸艹日大
吔	口也󰁀
廊	广丶彐阝
怀	忄丆卜󰁶
试	讠弋工
庞	广ヒ丶
毕	󰁴匕十󰀬
轫	车刀丶󰁶
砌	石七刀ノ
驿	󰀊󰀞又󰀟
辈	三〢三车
夔	䒑丿目夂
叽	口几󰁀
垴	土文凵
忍	刀丶心󰁧
栌	木󰀥尸ノ
蟑	虫立早󰀢
蜡	虫󰁺日󰀝
予	󰁻乛亅󰀬
少	小丿󰀏
着	䒑󰀠目󰀘
诅	讠󰀐一󰀝
各	夂口󰀘
毅	立󰀓几又
疰	疒丶王󰀌
深	氵冖八木
甙	弋艹二丶
薰	艹丿一灬
麈	广󰁃〢王
兕	丨󰁎󰀽儿
您	亻⺈小心
储	亻讠土日
旨	匕日󰀘
痨	疒艹冖力
甄	覀土一丶
嗨	口氵𠂉母
钚	钅丆卜󰁶
邀	白方夂辶
唬	口󰅋七几
门	门丶丨𠃌
因	囗大󰀦
莠	艹禾乃󰁣
坚	〢又土󰀘
惹	艹口心
橘	木󰁻乛口
夕	夕丿乛丶
惠	一日丨心
碡	石主母󰁶
铄	钅丿󰄃小
颡	又又又贝
条	夂木󰁧
坡	土󰅌又󰁶
迫	白辶󰀌
泮	氵䒑十󰀢
逑	一氺丶辶
驳	󰀊󰀞乂乂
啄	口一󰀓丶
楗	木󰁬󰀟廴
庋	广十又󰀦
哚	口几木󰁶
哄	口󰁺八󰁶
溱	氵三人禾
纱	纟小丿ノ
蛰	扌九丶虫
慌	忄艹亠󰀸
乩	󰀥口乚󰁀
玢	王八刀ノ
昨	日𠂉丨二
鹩	大丷日一
蹩	丷冂󰅇󰁾
豕	一󰀓󰀦
钔	钅门󰁀
沔	氵一丨𠃌
碌	石󰁭氺󰁶
沛	氵一冂丨
露	󰀙口止口
暨	彐厶󰀂一
逃	儿󰀪辶󰀦
岸	山厂干󰀬
颌	人一口贝
旒	方𠂉亠󰀸
弥	弓⺈小󰁶
墀	土尸氺󰀟
驯	󰀊󰀞川󰀢
咄	口凵山󰀢
撄	扌贝贝女
鼷	臼󰁐󰁦大
庥	广亻木󰀦
锰	钅子皿󰀝
兴	󰀧一八󰁧
田	田田田田
荦	艹冖󰅎丨
预	󰁻乛亅贝
鲜	󰁢󰀞丷󰅆
赇	贝一氺丶
洋	氵丷󰅆󰀢
蹦	口止山月
摭	扌广廿灬
势	扌九丶力
倪	亻臼儿󰁀
衔	彳钅一丁
辙	车亠厶夂
像	亻⺈口󰀓
铭	钅夕口󰀝
衡	彳󰁢大丁
萨	艹阝立丿
辍	车又又又
蓰	艹彳止󰁾
杌	木一儿󰁀
坌	八刀土󰀘
侍	亻土寸󰁶
徜	彳⺌冂口
镭	钅󰀙田󰀝
骧	󰀊󰀞亠󰀔
蠡	彑󰀓虫虫
爻	乂乂󰁧
宅	宀丿七󰀅
荨	艹彐寸󰁧
辕	车土口󰀔
啦	口扌立󰀝
蒙	艹冖二󰀓
商	亠丷冂口
鸱	󰁚七丶一
啤	口白丿十
褰	宀󰀀八󰀔
踱	口止广又
帱	冂丨三寸
晰	日木斤󰀢
毓	𠂉母亠󰀸
篝	⺮󰀀冂土
仍	亻乃ノ
喘	口山丆〢
扔	扌乃ノ
绍	纟刀口󰀝
瘐	疒臼人󰀦
黍	禾人氺󰁧
迄	𠂉乙辶󰁫
判	丷󰀠刂󰀢
康	广󰁬氺󰀦
忄	忄丶丨丶
熨	尸二小火
憨	乛耳夂心
愚	日冂丨心
悠	亻丨夂心
橡	木⺈口󰀓
远	二儿辶󰁫
骑	󰀊󰀞大口
膨	月士口彡
绕	纟弋丿儿
拐	扌口力ノ
攀	木乂乂手
朔	䒑凵丿月
及	乃󰂃󰀦
隰	阝日ㄠ灬
茄	艹力口󰀘
髅	󰀾月米女
勒	廿口十力
努	女又力󰁣
蚰	虫由󰀝
绱	纟⺌冂口
禧	礻󰁶士口
圾	土乃󰂃󰁶
潲	氵禾⺌月
署	罒土丿日
轲	车丁口󰀝
咩	口丷󰅆󰀢
拭	扌󰀁工丶
溢	氵䒑八皿
健	亻󰁬󰀟廴
拨	扌ㄥ丿丶
几	几丿󰁊
搀	扌⺈口󰁦
兰	䒑二󰀘
腾	月䒑大一
匙	日一󰁾匕
耪	三󰅇亠方
扎	扌乚󰁀
攮	扌一口󰀔
陵	阝土八夂
柔	󰁻乛亅木
燠	火丿ㄇ大
犹	犭ノ丶
狨	犭ノ戈
还	丆卜辶󰀦
炕	火亠几󰁀
可	丁口󰀌
管	⺮宀丨󰁃
妁	女勹丶󰁶
埔	土一月丶
怿	忄又二丨
你	亻⺈小󰁶
羲	丷王禾丶
乱	丿古乚󰁀
沤	氵匚乂󰁶
眄	目一丨𠃌
菲	艹丨三三
透	禾乃辶󰀏
祥	礻󰁶丷󰅆
饥	⺈󰁐几󰁀
鼋	二儿口乚
烈	一夕刂灬
尒	人小󰁧
挨	扌厶𠂉大
孩	孑亠ㄥ人
垌	土冂一口
桡	木弋丿儿
爷	八乂ㄗ󰀬
位	亻立󰀝
鞔	廿󰀜⺈󰁜
笃	⺮󰀊一󰀘
造	丿土口辶
耠	三󰅇人口
茨	艹冫⺈人
厄	厂⺋󰁫
罕	冖八干󰀬
玄	亠ㄠ󰁧
婿	女乛󰁾月
魅	白󰁜厶󰅇
骄	󰀊󰀞丿󰀯
何	亻丁口󰀝
羟	䒑󰀠ス工
瘰	疒田ㄠ小
饿	⺈󰁐丿丶
欧	匚乂⺈人
噌	口丷󰀺日
亍	一丁󰀬
氧	󰅎⺄丷󰅆
仿	亻方ノ
陌	阝丆日󰀝
箨	⺮扌又󰀟
癌	疒口口山
忪	忄八厶󰁶
剔	日勹󰁤刂
溜	氵󰁚丶田
窕	宀八儿󰀪
亜	一口〢一
媾	女󰀀冂土
梧	木五口󰀝
劳	艹冖力󰁣
芳	艹方󰁣
广	广丶一丿
饺	⺈󰁐亠乂
塞	宀󰀀八土
馏	⺈󰁐󰁚田
娥	女丿扌丶
抠	扌匚乂󰁶
秘	禾心丿ノ
躜	口止丿贝
栩	木羽󰀝
砩	石弓󰀯󰀢
迪	由辶󰀌
遨	主󰁡夂辶
艄	丿󰁪⺌月
疏	乛止亠󰀸
钢	钅冂乂󰁶
骅	󰀊󰀞亻十
巍	山禾女厶
昌	日日󰀘
缲	纟口口木
柱	木丶王󰀝
捡	扌人一一
碟	石廿󰄃木
腑	月广亻寸
偲	亻田心󰁶
抨	扌一丷十
秕	禾󰁴匕󰁀
蓓	艹亻立口
冠	冖二儿寸
爹	八乂夕夕
掉	扌󰀥早󰀢
舔	丿古一⺗
莶	艹人一一
设	讠几又󰁶
勤	廿口主力
舒	人干口亅
邓	又阝󰀢
姚	女儿󰀪󰁶
熠	火羽白󰀝
芨	艹乃󰂃󰁧
黜	󰀹土灬山
钾	钅甲󰀢
溆	氵人一又
宽	宀艹ㄇ󰁜
峨	山丿扌丶
哪	口刀二阝
秦	三人禾󰁧
千	丿十󰀵
觅	爫ㄇ󰁜󰀅
碱	石厂一丶
袱	衤󰁧亻犬
兄	口儿󰀅
伍	亻五󰀝
缍	纟ノ一士
垩	一󰅊一土
鼍	口口田乚
帜	冂丨口八
券	䒑大刀󰁣
咤	口宀丿七
呒	口二󰁜󰁀
删	󰀼󰀼一刂
樗	木󰀙二ㄅ
胱	月⺌一儿
汹	氵乂凵󰀢
珩	王彳一丁
珈	王力口󰀝
镑	钅亠丷方
匈	勹乂凵󰀵
房	丶尸方󰀏
狄	犭ノ火󰁶
拄	扌丶王󰀝
漕	氵一ㄇ日
囔	口一口󰀔
鳎	󰁢󰀞日羽
狠	犭ノ彐󰀖
苠	艹󰁃󰁐弋
苄	艹亠卜󰁧
庆	广大󰀦
竿	⺮干󰀬
厉	厂一󰁡󰀏
稻	禾爫臼󰀝
乍	𠂉丨二󰀘
砰	石一丷十
箧	⺮匚一大
跞	口止丿小
蚌	虫三丨󰀢
妨	女方ノ
湍	氵山丆〢
侪	亻文󰀯󰀢
愠	忄日皿󰀝
婕	女一󰁬󰁾
乜	𠃌乚󰁫
筅	⺮丿土儿
龙	ヒ丶󰀦
纟	纟ㄥㄥ󰀞
虏	󰅋七力󰀏
蝗	虫白王󰀝
为	丶丿𠃌丶
极	木乃󰂃󰁶
嫂	女臼丨又
抄	扌小丿ノ
史	口乂󰀦
鹜	󰁻乛亅一
脶	月口冂人
妫	女丶丿丶
膀	月亠丷方
怨	夕⺋心󰁧
幞	冂丨󰅊人
衩	衤󰁧又丶
犄	ノ扌大
芄	艹九丶󰁧
桩	木广土󰀝
募	艹日大力
渺	氵目小丿
冢	冖一󰀓丶
奄	大日乚󰀅
蛘	虫丷󰅆󰀢
绎	纟又二丨
糜	广木木米
钓	钅勹丶󰁶
襄	亠口口󰀔
网	冂乂乂󰀦
粳	米一日乂
齑	文󰀯丨一
涌	氵󰁻用
鳊	󰁢󰀞丶艹
鸺	亻木勹一
踺	口止󰁬廴
痹	疒田一󰀯
叩	口卩󰀢
肆	󰀍厶󰁬󰀟
涕	氵丷弓丿
忸	忄󰁈丨二
缕	纟米女󰀝
菩	艹立口󰀘
簪	⺮󰀂󰁜日
揩	扌󰁴匕白
蠲	䒑八皿虫
槭	木厂󰀥丶
模	木艹日大
筻	⺮一日乂
謇	宀󰀀八言
畔	田䒑十󰀢
栲	木土丿ㄅ
镔	钅宀󰅍八
挹	扌口巴󰁀
猹	犭ノ木一
茹	艹女口󰀘
麓	木木广匕
躞	口止言又
酤	西一古󰀝
加	力口
攉	扌󰀙亻󰁷
淌	氵⺌冂口
呓	口艹乙󰁀
跌	口止󰅎人
麟	广󰁃〢丨
锩	钅䒑大⺋
爸	八乂巴󰀅
拦	扌丷三󰀝
匹	匚儿󰁫
峪	山八人口
泪	氵目󰀝
甩	月乚󰁫
肠	月ㄋ󰁤ノ
栎	木丿󰄃小
庚	广󰁬人󰀦
骡	󰀊󰀞田小
糍	米䒑ㄠㄠ
蔌	艹一口人
鳍	󰁢󰀞土日
髡	󰂞彡一儿
耱	三󰅇广石
逛	犭ノ王辶
涡	氵口冂人
糕	米丷王灬
藩	艹氵丿田
郾	匚日女阝
