偎	亻田一フノㄟ
不	一ノ丨丶
礳	156
麒	广フ丨丨一比左匕其上八
瓘	王艹口口亻亠
蠢	寿上ㄟ日虫虫
磋	石工
剡	火火刂
骧	马亠口口一一丨丨一𧘇
譬	尸口立十亠一一口
瀵	氵米田艹一八
灌	氵艹口口亻亠
阅	门丷口儿
蘅	艹彳田大亍
瘅	疒丷丨フ一一一丨
糯	米雨而
魔	广木木鬼
獾	犭艹口口亻亠
鳟	鱼丷酉寸
狲	犭子小
鳞	鱼米夕一フ丨
啕	口勹缶
狸	犭里
阌	门ノ⺍冖又
鳝	鱼羊丷一口
鲨	氵少鱼
臜	月儿儿冂人
鼯	臼フ丶丶フ丶丶フ五口
赍	十冖人人冂人
藕	艹耒禺
浍	氵人二厶
孢	子勹巳
止	丨一丨一
玡	王牙
纂	目大幺小
馓	饣艹一月攵
萩	艹禾火
镴	钅フフフ囗乂フ丶丶フ丶丶フ
镳	钅广フ丨丨一比左匕灬
黥	黑亠口小
黩	黑十フ丶丶大
巉	山口比左匕丨フ一ノフ丶
巍	山禾女鬼
嚷	口亠口口一一丨丨一𧘇
驻	马主
病	疒丙
维	纟亻亠
庆	广大
刺	一丨フ丨ノㄟ刂
嚼	口ノ⺍罒即左寸
了	フ丨
猸	156
歹	一夕
鼍	口口田一口电
茸	艹耳
噜	口鱼日
昕	日斤
躁	口口口木
乖	千丨一一匕
曦	日ノ一丨ノ丶一フフノ丶
矍	目目亻亠又
钍	钅土
耀	兀习习亻亠
欢	又人
酆	山丰丰一口丷一阝
菡	艹了冫ノ丶凵
害	宀丰口
槚	木西冂人
醴	酉曲一口丷一
醵	酉虍豕
联	耳丷天
蘘	艹亠口口一一丨丨一𧘇
蘖	艹ノ㠯立十木
蘩	艹ノ一母攵幺小
廙	广田艹一八
攘	扌亠口口一一丨丨一𧘇
壤	土亠口口一一丨丨一𧘇
牺	牛西
艺	艹フ
蓦	艹日大马
扺	扌氏
瓒	王儿儿冂人
伴	亻半
梅	木ノ一母
忆	忄フ
牲	牛生
色	巴
尹	フ一一ノ
摸	扌艹日大
缵	纟儿儿冂人
葸	艹田心
骥	马丨一一匕田艹一八
疆	弓土一田一田一
棼	木木八刀
谶	讠人人戈韭
猡	犭罒夕
询	讠勹日
匡	匚王
挡	扌彐
桕	木臼
炔	火夬guài
襦	衤雨而
瀛	氵亡口月女凡
瀣	氵丨一夕又韭
瀚	氵十日十人习习
羹	灬大
昝	夂卜日
轴	车由
移	禾夕夕
蠃	亡口月虫凡
醺	酉ノ一丨フ丶ノ一丨一一灬
佴	亻耳
靡	广木木非
忖	忄寸
姻	女囗大
冲	冫中
芸	艹二厶
犸	犭马
衅	血半
蟹	用刀牛虫
觳	士冖一用几又
鳚	鱼尸二小寸
鳙	鱼广フ一一丨フ一一丨
鳗	鱼日罒又
鳕	鱼雨彐
鳔	鱼西二小
鳓	鱼革力
妪	女匚乂
锕	钅阝丁口
物	牛勿
扩	扌广
鼗	儿冫ノ丶士口丷一十又
艨	舟艹冖二ノフノノノㄟ
梽	木士心
齁	自田一ノ丨勹口
鳘	ノ一母攵鱼
簿	氵甫寸
籁	束冂人
簸	其上八フノ丨又
离	亠乂凵丨フフ丶
镲	钅宀ノフ丶丶二小
髌	骨宀丘八
髋	骨宀艹冂见下
黢	黑厶八夂
巅	山十具上八一ノ冂人
妻	一フ一一丨女
榻	木日习习
蠊	虫广丷一フ一一丨丨ノㄟ
蟾	虫厂八亠一一口
蠋	虫罒勹虫
蠓	虫艹冖二ノフノノノㄟ
郄	乂厶阝
胄	由月
司	フ一口
崎	山大丁口
蓍	艹耂匕日
铍	钅フノ丨又
蠖	虫艹亻亠又
蹬	フ丶ノノㄟ一口丷一
铕	钅月
蹿	宀八串
蹭	丷囗日
婪	木木女
蹲	丷酉寸
蹴	亠口小尤
蹯	ノ米田
蝽	虫寿上ㄟ日
森	木木木
蹰	厂一口丷一寸
嚯	口雨亻亠
曝	日日艹一八氺
黼	业丶ノ丨フ丨ノ丶甫
霭	雨讠日勹人フ
慭	来犬心
礤	156
醯	酉亠厶ノ丨フ皿
醮	酉亻亠灬
饻	饣亠𧘇
襻	衤木乂乂木大手
攀	木乂乂木大手
嵖	山木日一
女	フノ一
麓	木木广フ丨丨一比左匕
汹	氵乂凵
屹	山乞
饳	饣出
脲	月尸水
藻	艹氵口口口木
宕	宀石
荔	艹力力力
箕	其上八
蘑	艹广木木石
警	艹勹口攵亠一一口
诎	讠出
迥	辶冂口
蘧	艹虍豕辶
傧	亻宀丘八
鞴	革艹一ノ用
鞲	革一一丨丨一冉
攒	扌儿儿冂人
啸	口肃
洹	氵一日一
畸	田大丁口
垅	156
仆	亻卜
细	纟田
攉	扌雨亻亠
鞅	革央
螅	虫自心
邋	辶フフフ囗乂フ丶丶フ丶丶フ
勍	亠口小力
彝	フフ一米幺小廾
璧	尸口立十玉
襟	衤木木二小
氢	气フ丶工
铡	钅冂人刂
谢	讠身寸
懵	忄艹罒冖目
酲	酉口王
瀌	氵广フ丨丨一比左匕灬
茔	艹冖土
瀑	氵日艹一八氺
邰	厶口阝
冁	丷丨フ一一一丨尸艹一フノㄟ
谡	讠田八夂
獍	犭立日儿
谎	讠艹亡ノ丨フ
奔	大十廾
蝙	虫户冂艹
逮	辶フ一一丨冫ノㄟ
飗	几乂ノフ丶刀田
鹱	鸟艹亻亠又
鳑	鱼亠丷冖方
岱	亻弋山
鳏	鱼罒丨ノノ丶丶
鳎	鱼日习习
鳍	鱼耂匕日
育	亠厶月
缆	纟丨丨ノ一丶冂见下
悲	非心
壳	士冖几
臑	月雨而
翻	ノ米田习习
波	氵フノ丨又
厍	厂车
恼	忄亠乂凵
吡	口比左匕
雠	亻亠讠亻亠
鼩	臼フ丶丶フ丶丶フ勹口
劾	亠フノ人力
鳢	鱼曲一口丷一
尕	乃小
簟	西日十
簠	甫皿
馥	禾日ノ一日夂
萍	艹氵平
菔	艹月卩又
檬	木艹冖二ノフノノノㄟ
氕	气ノ
氮	气火火
镭	钅雨田
镬	钅艹亻亠又
髂	骨宀夂口
油	氵由
琅	王良
汆	入水
驳	马乂乂
黟	黑夕夕
豢	豕
碳	石山火
胲	月亠フノ人
鹮	罒一口𧘇鸟
梳	木亠厶ノ丨フ
嚚	口口臣口口
确	石用
蕺	艹口戈丨丨一一一
捍	扌日干
岢	山丁口
蟪	虫一丨フ一一丨一丶心
蟛	虫士口丷一ノノノ
墼	车凵几又土
鲢	鱼车辶
葡	艹勹甫
孕	乃子
蹢	亠丷冂十口
蹦	山月月
曜	日习习亻亠
珍	王人ノノノ
曛	日ノ一丨フ丶ノ一丨一一灬
燮	火亠一一口火又
筲	月
莱	艹来
瞿	目目亻亠
鲆	鱼平
餮	歹人ノノノ人良
燹	豕豕火
菅	艹宀㠯
甸	勹田
攸	亻丨攵
锸	钅千臼
蔸	艹白ノフフ一儿
礌	石雨田
礓	石一田一田一
埙	土口冂人
蹙	戊上小口丨一人
醪	酉习习人ノノノ
须	ノノノ一ノ冂人
疡	疒フノノ
赢	亡口月冂人凡
檵	156
名	夕口
檫	木宀ノフ丶丶二小
藩	艹氵ノ米田
箭	丷一月刂
斡	十日十人丶丶十
藜	艹禾勹ノ人氺
蚕	天虫
鞧	革丷酉
鞫	革勹亠一一口
叱	口匕
鞭	革亻更
鞨	革日勹人フ
欲	八人口人
鬲	一口冂丷一丨
芍	艹勺
犍	牛聿廴
鞯	革艹丨子
辏	车寿上ㄟ天
葚	艹其上八フ
鳌	フノ攵鱼
蜒	虫亻一フ廴
跆	厶口
鍪	フ丨ノ攵金
鹬	フ丨ノ冂八口鸟
隅	阝禺
癸	フ丶ノノㄟ天
踹	山而
鸹	千口鸟
栳	木耂匕
财	冂人才
索	十冖幺小
蟊	フ丨ノ虫虫
恺	忄山己
龋	止人凵禹
痕	疒艮
嬷	女广木木么
庖	广勹巳
茂	艹戊
陕	阝夹
擘	尸口立十手
臂	尸口立十月
甓	尸口立十瓦
猱	犭フ丨ノ木
檗	尸口立十木
臀	尸艹一八几又月
襁	衤弓口虫
襕	衤门柬
茱	艹朱
牍	片十フ丶丶大
寸	一丨丶
撸	扌鱼日
咸	戌口
豁	宀丰口八人口
石	一ノ口
柳	木ノフノ卩
际	阝二小
蒸	艹了フノㄟ一灬
懦	忄雨而
睐	目来
帆	巾凡
濠	氵亠口冖豕
锡	钅日勿
濞	氵自田一ノ丨
濮	氵亻业ㄟ
矻	石乞
巢	フフフ果
缧	纟田幺小
懑	氵艹两心
淖	氵丨一日十
苔	艹厶口
笕	冂见下
拔	扌又丶
燥	火口口口木
馘	丷一自戈口一
糠	米广フ一一丨冫ノㄟ
危	厂フフ
糟	米一丨フ一丨丨一日
辫	立纟立十
旸	日フノノ
阔	门氵千口
讲	讠井
癌	疒口口口山
癍	疒王文王
膺	广亻亻亠月
縻	广木木幺小
枳	木口八
潆	氵艹冖幺小
糜	广木木米
但	亻日一
闸	门甲
前	丷一月刂
螳	虫冖口土
橛	木厂丷一フ丨ノ人
鹫	亠口小尤鸟
镡	钅西日十
瞻	目厂八亠一一口
螽	夂丶丶虫虫
世	一丨丨一フ
帖	巾丨一口
晕	日冖车
叹	口又
鳊	鱼户冂艹
鳉	鱼冫丨夕寸
咱	口自
汲	氵及
鳇	鱼白王
鳅	鱼禾火
鳄	鱼口口亏
鳃	鱼田心
拍	扌白
狍	犭勹巳
苍	艹人フフ
骎	马亻彐冖又
淆	氵乂月
姬	女匚丨口丨
钱	钅戋
鲾	鱼一口田
坳	土幺力
盅	中皿
耜	耒㠯
杳	木日
靳	革斤
瘸	疒力口内人
辆	车两
雅	牙亻亠
坻	土氐
臃	月亠乡亻亠
臆	月立日心
臁	156
膻	月亠囗口日一
蝻	虫十冂丷干
臊	月口口口木
杻	木丑
葩	艹白巴
臌	月士口丷一十又
貔	豸ノ囗乂比左匕
肥	月巴
貘	豸艹日大
繇	ノ⺍缶ノ幺小
爵	ノ⺍罒即左寸
龠	人一口口口冂艹
腔	月宀八工
滦	氵亠丨丨ノ丶木
徽	彳山一幺小攵
馕	饣一丨フ一丨冖口口一一丨丨一𧘇
鼾	自田一ノ丨干
儡	亻田田田
榕	木宀八人口
兔	丨フ一ノフ丶
蛑	虫厶牛
涅	氵日土
囡	囗女
郓	冖车阝
腌	月大电
煌	火白王
鸢	弋鸟
妍	女开
弼	弓百弓
檀	木亠囗口日一
叟	ノ丨一フ一一丨又
簋	艮皿
天	一大
慨	忄即左一フノフ
啄	口一ノフノノ丶ノㄟ
似	亻フ丶人
簖	米フ斤
簏	广フ丨丨一比左匕
雳	雨厂力
刑	开刂
摭	扌广廿灬
簧	艹一由八
黏	禾人氺丨一口
穗	禾一丨フ一一丨一丶心
飕	几乂ノ丨一フ一一丨又
罅	缶虍乎
泱	氵央
脔	亠丨丨ノ丶内人
壕	土亠口冖豕
棕	木宀二小
镫	钅フ丶ノノㄟ一口丷一
镩	钅宀八串
饯	饣戋
锄	钅且力
泅	氵囗人
甄	西土瓦
稍	禾月
阡	阝千
滢	氵艹冖玉
钰	钅玉
彼	彳フノ丨又
佼	亻亠八乂
矩	矢巨
柩	木匚久
镦	钅亠口子攵
轼	车弋工
脎	月乂朩
潼	氵立里
安	宀女
镣	钅大丶ノ日小
汇	氵匚
黝	黑幺力
飔	几乂田心
掠	扌亠口小
嶷	山匕矢フ丨一人
罽	罒厂火火刂
燔	火ノ米田
羁	罒革马
嚓	口宀ノフ丶丶二小
蟀	虫亠幺冫ノ丶十
荃	艹人王
溯	氵丷一フ丨ノ月
僮	亻立里
螬	虫一丨フ一丨丨一日
蟥	虫艹一由八
里	丨フ一一丨一一
蹐	冫ノ丶人月
腴	月臾
陡	阝土丨一人
凌	冫土八夂
红	纟工
晡	日甫
旰	日干
痰	疒火火
部	立口阝
闰	门王
烨	火亻匕十
胨	月东
墩	土亠口子攵
惨	忄厶大ノノノ
蹊	ノ⺍幺大
蹈	ノ⺍臼
蹋	日习习
蹒	艹两
蹑	耳又又
嚅	口雨而
曙	日罒耂日
嚏	口十冖田フ丨一人
熔	火宀八人口
山	丨凵
饕	口一フ虍几人良
瞵	目米夕一フ丨
鞡	革扌立
瞳	目立里
奕	亠ノ丨ノ丶大
憔	忄亻亠灬
浅	氵戋
潢	氵艹一由八
邓	又阝
瞬	目ノ⺍冖夕一フ丨
瞧	目亻亠灬
肓	亡月
册	ノフノフ一
琰	王火火
瞭	目大丶ノ日小
饩	饣气
涮	氵尸巾刂
慢	忄日罒又
翼	习习田艹一八
霞	雨フ一丨一一フ一又
鲞	鱼
善	羊丷一口
鹩	大丶ノ日小鸟
器	口口犬口口
呔	口太
磷	石米夕一フ丨
粕	米白
鸩	丶フノフ鸟
礅	石亠口子攵
泪	氵目
硌	石夂口
桌	丨一日木
塌	土日习习
繄	匚矢几又幺小
趟	土丨一人冂口
鼢	臼フ丶丶フ丶丶フ八刀
檩	木亠囗口二小
行	彳亍
檐	木厂八亠一一口
鲅	鱼又丶
膊	月甫寸
缢	纟丷一八皿
沅	氵二儿
檑	木雨田
伢	亻牙
瑄	王宀一日一
贱	冂人戋
镰	钅广丷一フ一一丨丨ノㄟ
洱	氵耳
藁	艹亠口冂口木
藓	艹鱼羊
藐	艹豸白儿
缰	纟一田一田一
薷	艹雨而
藏	艹戊フ一ノ臣
鞠	革勹米
薹	艹士口冖一厶土
藉	艹耒艹一日
试	讠弋工
擢	扌习习亻亠
己	フ一フ
楗	木聿廴
砌	石七刀
擦	扌宀ノフ丶丶二小
擤	扌自田一ノ丨
戴	十戈田艹一八
璪	王口口口木
到	一厶土刂
忍	刃心
栌	木丨一尸
豫	フ丨丨フ一ノフノノノㄟ
迢	辶刀口
璨	王丨一夕又米
缴	纟白方攵
缲	纟口口口木
诅	讠且
各	夂口
毅	立ノフノノノ丶几又
疰	疒主
深	氵冖八木
缱	纟中一㠯辶
薰	艹ノ一丨フ丶ノ一丨一一灬
颡	又又又木一ノ冂人
翯	习习亠口冂口
您	亻小心
储	亻讠耂日
旨	匕日
痨	疒艹冖力
鹨	习习人ノノノ鸟
嗨	口氵ノ一母
嬗	女亠囗口日一
隰	阝日幺幺灬
犟	弓口虫牛
门	丶丨フ
嬖	尸口立十女
避	辶尸口立十
壁	尸口立十土
禧	礻士口丷一口
虿	万虫
夕	ノフ丶
惠	一丨フ一一丨一丶心
碡	石母
铄	钅乐
蓄	艹亠幺田
条	夂朩
坡	土フノ丨又
窿	宀八阝夂一生
窸	宀八ノ米心
寰	宀罒一口𧘇
褰	宀一一丨丨一八亠𧘇
黉	⺍冖艹一由八
懈	忄用刀牛
憾	忄戌口心
暌	日フ丶ノノㄟ天
困	囗木
曰	囗一
纱	纟少
蛰	扌丸虫
厦	厂一自夂
乩	丨一口フ
澼	氵尸口立十
咔	口上卜
汕	氵山
蹩	丶ノ丨フ丨ノ丶攵口丨一人
豕	一ノフノノノㄟ
钔	钅门
澹	氵厂八亠一一口
碌	石彐氺
澴	氵罒一口𧘇
澡	氵口口口木
澧	氵曲一口丷一
潞	氵夂口
濉	氵目亻亠
颌	人一口一ノ冂人
濒	氵止丨ノノ一ノ冂人
濑	氵束冂人
燏	火フ丨ノ冂八口
燧	火丷豕辶
居	尸十口
撄	扌冂人冂人女
颛	山而一ノ冂人
燠	火ノ冂米大
锰	钅子皿
甑	丷囗日瓦
田	囗十
瞥	丶ノ丨フ丨ノ丶攵目
磬	士フ丨一ノ几又石
糙	米口辶
羲	ノ一丨ノ丶一フフノ丶
壅	亠乡亻亠土
嬴	亡口月女凡
辩	立讠立十
稚	禾亻亠
凝	冫匕矢フ丨一人
麈	广フ丨丨一比左匕主
麇	广フ丨丨一比左匕禾
斓	文门柬
缙	纟亚日
癃	疒阝夂一生
琎	王井辶
蝌	虫禾丶丶十
植	木十具上
杌	木兀
坌	八刀土
侍	亻土寸
堡	亻口木土
渌	氵彐氺
廪	广亠囗口二小
辜	十口立十
镞	钅方ノ一矢
宅	宀ノ七
荨	艹彐寸
辕	车土口𧘇
瘭	疒西二小
音	立日
赟	文一弋止冂人
鸱	氐鸟
廨	广用刀牛
蕴	艹纟日皿
踱	广廿又
帱	巾寿上寸
晰	日木斤
鹧	广廿灬鸟
李	木子
仍	亻乃
颊	夹一ノ冂人
滍	氵フ丨丨一虫
绍	纟刀口
滂	氵亠丷冖方
黍	禾人氺
迄	辶乞
獬	犭用刀牛
獭	犭束冂人
獴	犭艹冖二ノフノノノㄟ
俄	亻我
俜	亻由一フ
鲻	鱼フフフ田
悠	亻丨攵心
鲹	鱼厶大ノノノ
肠	月フノノ
鲺	鱼フノ虫
膨	月士口丷一ノノノ
绕	纟一フノ兀
猄	犭亠口小
鲸	鱼亠口小
朔	丷一フ丨ノ月
鲷	鱼冂土口
仕	亻士
茄	艹力口
髅	骨米女
鲴	鱼囗十口
鲳	鱼日日
蚰	虫由
鲲	鱼日比左匕
鲱	鱼非
垱	土彐
潲	氵禾月
署	罒耂日
轲	车丁口
聩	耳中一冂人
涟	氵车辶
鲮	鱼土八夂
膙	月弓口虫
拨	扌フノ又丶
几	ノフ
膦	月米夕一フ丨
螣	月虫
膪	156
盦	人丶フ酉皿
歙	人一口习习人
衡	彳田大亍
徼	彳白方攵
邀	辶白方攵
柔	フ丨ノ木
缜	纟十具上八
魈	鬼月
狨	犭戈
魉	鬼两
翱	白大十习习
澉	氵フ耳攵
蜎	虫口月
盥	ノ丨一一水彐皿
埔	土甫
篱	亠乂凵丨フフ丶
篙	亠口冂口
篷	夂丰辶
乱	千口フ
篪	ノノ虍几
篦	ノ囗乂比左匕
氖	气乃
篡	目大厶
篮	丨丨ノ一丶皿
篥	西木
篚	匚非
篝	一一丨丨一冉
侏	亻朱
挨	扌厶矢
孩	子亠フノ人
垌	土冂一口
怠	厶口心
穑	禾十丷一囗口
作	亻乍
憩	千口自心
赞	儿儿冂人
造	辶口
耠	耒人一口
录	彐氺
厄	厂フフ
罕	冖八干
玄	亠幺
氆	毛丷亚日
魅	鬼未
氇	毛鱼日
何	亻丁口
镠	钅习习人ノノノ
瘰	疒田幺小
裙	衤尹口
镜	钅立日儿
朱	ノ未
亍	二丨
粹	米亠人人十
镚	钅山月月
陌	阝百
镘	钅日罒又
俪	亻丽
忪	忄八厶
府	广亻寸
溜	氵ノフ丶刀田
窕	宀八儿冫ノ丶
扔	扌乃
镗	钅冖口土
镖	钅西二小
黔	黑人丶フ
默	黑犬
赠	冂人丷囗日
埴	土十具上
鹚	丷一幺幺鸟
罹	罒忄亻亠
幪	巾艹冖二ノフノノノㄟ
噼	口尸口立十
噻	口宀一一丨丨一八丶丶土
腠	月寿上ㄟ天
恨	忄艮
噫	口立日心
迪	辶由
遨	辶フノ攵
艄	舟月
窅	宀八目
噬	口工人人
骅	马亻匕十
嘌	口西二小
昌	日日
瘌	疒束刂
柱	木主
噪	口口口口木
螟	虫冖日亠八
螠	虫丷一八皿
榴	木ノフ丶刀田
抨	扌平
动	二厶力
螗	虫广フ一一丨口
冠	冖二儿寸
螭	虫亠乂凵丨フフ丶
螈	虫厂白小
舔	千口天
蟆	虫艹日大
蟒	虫艹犬廾
螨	虫艹两
蹂	フ丨ノ木
蹁	户冂艹
蹉	工
络	纟夂口
芨	艹及
黜	黑出
掳	扌虍力
踽	禹
珑	王龙
量	日一里
蹅	木日一
蹀	世木
曈	日立里
觅	ノ⺍冂见下
碱	石戌口
胰	月夷
暾	日亠口子攵
伍	亻五
噤	口木木二小
垩	亚土
东	一フ丨ノ丶
帜	巾口八
嚄	口艹亻亠又
瞰	目フ耳攵
瞠	目冖口土
瞟	目西二小
氅	冂口攵毛
遽	辶虍豕
餐	丨一夕又人良
冀	丨一一匕田艹一八
臻	一厶土寿上ㄟ禾
辚	车米夕一フ丨
辙	车亠厶月攵
胥	フ丨一人月
狄	犭火
拄	扌主
漕	氵一丨フ一丨丨一日
引	弓丨
霍	雨亻亠
狠	犭艮
苠	艹民
苄	艹卞
滘	氵冖八工口
霖	雨木木
殪	歹士冖一口丷一
飙	犬犬犬几乂
乍	ノ一丨一一
赝	厂亻亻亠冂人
磲	石氵巨木
觱	戌口用
蚌	虫丰
婶	女宀申
倨	亻尸十口
侪	亻文ノ丨
湜	氵日一丨一人
婕	女一フ一一丨一人
抔	扌不
醚	酉米辶
呕	口匚乂
醍	酉日一丨一人
州	丶ノ丶丨丶丨
鲪	鱼尹口
菱	艹土八夂
融	一口冂丷一丨虫
橐	一丨フ一丨冖石木
抄	扌少
整	束攵正
鹜	フ丨ノ攵鸟
蹜	宀亻百
橼	木纟フフ豕
橘	木フ丨ノ冂八口
怨	夕フフ心
橙	木フ丶ノノㄟ一口丷一
衩	衤叉
犄	牛大丁口
芄	艹丸
樨	木尸氺牛
橦	木立里
渺	氵目少
橹	木鱼日
为	丶ノフ丶
檎	木人亠乂凵丨フフ丶
樵	木亻亠灬
橇	木毛毛毛
钓	钅勺
襄	亠口口一一丨丨一𧘇
溢	氵丷一八皿
婢	女ノ丨フ一一ノ十
薜	艹尸口立十
涌	氵用
噩	王口口口口
闹	门亠巾
踺	聿廴
痹	疒田一ノ丨
叩	口卩
翰	十日十人习习
涕	氵丷フ一フ丨ノ
颠	十具上八一ノ冂人
薄	艹氵甫寸
菩	艹立口
珩	王彳亍
氪	气十口儿
胱	月兀
薮	艹米女攵
模	木艹日大
蕹	艹亠乡亻亠
逋	辶甫
畔	田半
栲	木耂一フ
镔	钅宀丘八
挹	扌口巴
竺	二
茹	艹女口
薪	艹立朩斤
檠	艹勹口攵木
薇	艹彳山一几攵
加	力口
薛	艹ノ㠯立十
淌	氵冂口
呓	口艹フ
葓	156
腙	月宀二小
锩	钅フフ
蕾	艹雨田
薤	艹歹韭
匹	匚儿
峪	山八人口
法	氵土厶
甩	冂一一フ
埭	土フ一一丨冫ノㄟ
黇	艹一由八丨一口
燕	廿口丨一一匕灬
鞘	革月
糍	米丷一幺幺
蔌	艹束人
抠	扌匚乂
髡	一丨一二厶ノノノ兀
耱	耒广木木石
逛	辶犭王
颞	耳又又一ノ冂人
糕	米灬
擞	扌米女攵
贻	冂人厶口
熹	士口丷一口灬
骺	骨ノノ一口
操	扌口口口木
擂	扌雨田
撼	扌戌口心
擀	扌十日十人干
髹	一丨一二厶ノノノ亻木
莠	艹禾乃
酋	丷酉
腋	月亠亻ノフ丶ㄟ
痄	疒乍
旄	方ノ一毛
帅	丨ノ巾
螯	フノ攵虫
耪	耒亠丷冖方
沪	氵户
璘	王米夕一フ丨
虢	ノ⺍寸虍几
粪	米艹一八
痔	疒土寸
暝	日冖日亠八
帕	巾白
丕	不一
璟	王日亠口小
莪	艹我
聱	フノ攵耳
碲	石亠丷冖巾
审	宀申
揠	扌匚日女
珠	王朱
计	讠十
芹	艹斤
耨	耒厂二フノㄟ寸
抹	扌末
犹	犭尤
删	册刂
禄	礻彐氺
锔	钅尸フ口
馄	饣日比左匕
赌	冂人耂日
骣	马尸子子子
缯	纟丷囗日
哓	口一フノ兀
威	戌女
孺	子雨而
钩	钅勹厶
缬	纟士口一ノ冂人
璩	王虍豕
赪	土ノ丨ノ丶丨一冂人
咩	口羊
冱	冫互
及	ノフㄟ
祲	礻亻彐冖又
椽	木フフ豕
饲	饣フ一口
勰	力力力田心
赜	匚丨口丨冂人
嬉	女士口丷一口
浜	氵丘八
疔	疒丁
颅	丨一尸一ノ冂人
履	尸彳ノ一日夂
劈	尸口立十刀
桄	木兀
苹	艹平
衄	血丑
欺	其上八人
慰	尸二小寸心
熨	尸二小寸火
憨	フ耳攵心
谵	讠厂八亠一一口
鹤	丶フノ丨亠鸟
谴	讠中一㠯辶
禤	礻罒习习
褴	衤丨丨ノ一丶皿
褥	衤厂二フノㄟ寸
娩	女丨フ一ノフ
翩	户冂艹习习
铩	钅乂朩
贪	人丶フ冂人
桔	木士口
洪	氵艹一八
哩	口里
额	宀夂口一ノ冂人
窳	宀八瓜瓜
岍	山开
寮	宀大丶ノ日小
憎	忄丷囗日
憧	忄立里
鲍	鱼勹巳
懊	忄ノ冂米大
预	フ丨一ノ冂人
荠	艹文ノ丨
占	丨一口
次	冫人
翅	十又习习
迅	辶フ十
必	丶フ丶ノ丶
涩	氵刃止
怃	忄无
俅	亻求
考	耂一フ
逃	辶儿冫ノ丶
懂	忄艹重
潏	氵フ丨ノ冂八口
澄	氵フ丶ノノㄟ一口丷一
潺	氵尸子子子
潽	氵丷亚日
澜	氵门柬
潘	氵ノ米田
澳	氵ノ冂米大
迕	辶午
潟	氵臼勹灬
同	冂一口
母	フフ丶一丶
脱	月丷口儿
鄱	ノ米田阝
槲	木用丶丶十
焱	火火火
鋈	氵夭金
鳜	鱼厂丷一フ丨ノ人
潦	氵大丶ノ日小
潭	氵西日十
泜	氵氐
词	讠フ一口
诡	讠厂フフ
玠	王人ノ丨
潸	氵木木月
尜	小大小
没	氵几又
瓠	大亏瓜
谜	讠米辶
铠	钅山己
论	讠人匕
潮	氵十日十月
潵	氵艹一月攵
澌	氵其上八斤
澍	氵士口丷一寸
潜	氵夫夫日
熠	火习习白
橄	木フ耳攵
鹣	丷一フ一一丨丨ノㄟ鸟
妩	女无
共	艹一八
哔	口比左匕十
遵	辶丷酉寸
翦	丷一月刂习习
哌	口ノノノフノㄟ
腱	月聿廴
糅	米フ丨ノ木
糈	米フ丨一人月
铌	钅尸匕
糌	米夂卜日
剜	宀夕フフ刂
糊	米十口月
羰	山火
遛	辶ノフ丶刀田
琼	王亠口小
颜	产ノノノ一ノ冂人
凛	冫亠囗口二小
鹡	冫ノ丶人月鸟
齑	文韭ノ丨
袄	衤夭
瘫	疒又亻亠
莹	艹冖玉
屺	山己
瘠	疒冫ノ丶人月
瘤	疒ノフ丶刀田
瘪	疒自人匕
菪	艹宀石
瘛	疒丰刀心
刨	勹巳刂
鹃	口月鸟
爨	ノ丨一一冂一口フ一一冖木木大火
麾	广木木毛
励	厂万力
抱	扌勹巳
摩	广木木手
花	艹亻匕
馔	饣巳巳艹一八
籍	耒艹一日
鹠	ノフ丶刀田鸟
和	禾口
觯	用丷丨フ一一一丨
獠	犭大丶ノ日小
蒌	艹米女
钌	钅了
獗	犭厂丷一フ丨ノ人
橥	犭耂日木
汜	氵巳
匠	匚斤
氡	气夂丶丶
箜	宀八工
鲫	鱼即左卩
宜	宀且
醛	酉艹人王
胃	田月
烃	火フ丶工
鲩	鱼宀二儿
军	冖车
姹	女宀ノ七
箔	氵白
膛	月冖口土
龅	止人凵勹巳
辅	车甫
鲦	鱼夂朩
鲤	鱼里
拱	扌艹一八
娲	女口内
英	艹央
狱	犭讠犬
陧	阝日土
鲣	鱼丨丨又土
鲡	鱼丽
鲠	鱼更
滕	月氺
早	日十
膘	月西二小
个	人丨
膝	月木人氺
鹟	八厶习习鸟
闩	门一
箍	扌匚巾
峡	山夹
鹞	ノ⺍缶鸟
璠	王ノ米田
泡	氵勹巳
钠	钅内
诜	讠儿
泺	氵乐
鸵	鸟宀匕
蔹	艹人一⺍一攵
绅	纟申
仅	亻又
圄	囗五口
艘	舟ノ丨一フ一一丨又
诔	讠耒
耋	耂匕一厶土
比	比左匕
爱	ノ⺍冖又
舱	舟人フフ
茌	艹亻士
徵	彳山一王攵
怀	忄不
僻	亻尸口立十
锘	钅艹口
蝠	虫一口田
眩	目亠幺
蜩	虫冂土口
儇	亻罒一口𧘇
牖	片户甫
僵	亻一田一田一
仪	亻义
圩	土于
滪	氵フ丨一ノ冂人
篇	户冂艹
藠	艹白白白
偃	亻匚日女
剩	千丨一一匕ノㄟ刂
篌	亻フ一矢
恃	忄土寸
畹	田宀夕フフ
无	一尢
笔	毛
舛	夕一フ丨
创	人フフ刂
戛	一自戈
讼	讠八厶
台	厶口
基	其上八土
珰	王彐
菰	艹子瓜
箱	木目
氍	目目亻亠毛
双	又又
