的	白勹丶󰁶
旅	方𠂉󰀕󰁶
登	癶一口䒑
壁	尸口立土
乘	禾丬匕󰁫
井	二󰀯󰀵
闪	门人󰀦
湿	氵日󰅊一
缓	纟爫一又
洪	氵󰁺八󰁶
秘	禾心丿ノ
芳	艹方󰁣
汗	氵干󰀢
闭	门󰀛丿󰀏
卜	卜丨丶
毕	󰁴匕十󰀬
莫	艹日大󰁧
津	氵󰁬󰀟󰀢
挂	扌土土󰀝
逃	儿󰀪辶󰀦
磨	广木木石
蛋	乛󰁾虫󰁧
股	月几又󰁶
黎	禾勹丿氺
塔	土艹人口
塑	䒑凵丿土
贡	工贝󰁧
港	氵󰁺八巳
腐	广亻寸人
筑	⺮工几丶
冰	冫水󰁶
净	冫⺈󰁬亅
健	亻󰁬󰀟廴
殖	一夕十󰀣
婚	女󰁚弋日
奴	女又󰁶
插	扌丿十臼
辩	立讠十
纺	纟方ノ
刺	一冂󰅇刂
啦	口扌立󰀝
勒	廿口十力
援	扌爫一又
像	亻⺈口󰀓
仪	亻丶乂󰁶
萨	艹阝立丿
徒	彳土󰁾󰁶
弄	王廾󰀬
浪	氵丶彐󰀖
陷	阝⺈臼󰀝
汇	氵匚󰁀
函	了󰀪凵󰀵
休	亻木󰁶
炼	火󰀂𠃌八
舍	人干口󰀘
坡	土󰅌又󰁶
岛	勹丶ㄅ山
猪	犭ノ土日
郭	亠口孑阝
隔	阝一口丨
氯	󰅎⺄󰁭氺
忘	亠󰄃心󰁧
尖	小大󰁧
伏	亻大丶󰁶
浮	氵爫子󰀝
虚	󰅋七󰅊一
朋	月月󰀝
授	扌爫冖又
玻	王󰅌又󰁶
睡	目丿十一
障	阝立日十
辛	立十󰀬
碱	石厂一丶
贫	八刀贝󰁧
岩	山石󰀘
泪	氵目󰀝
臣	匚丨󰁃丨
疑	匕𠂉大󰁾
滚	氵亠八󰀔
壮	丬士󰀝
梁	氵刀八木
荡	艹氵ㄋ󰁤
启	丶尸口󰀌
瑞	王山丆〢
穷	宀八力󰁣
甘	艹二󰀌
箱	⺮木目󰀘
童	立日土󰀘
淡	氵火火󰁶
峰	山夂三丨
纲	纟冂乂󰁶
牙	󰀂亅丿󰀏
怪	忄又土󰀝
佛	亻弓󰀯󰀢
脂	月匕日󰀝
炸	火𠂉丨二
幸	土䒑十󰀬
截	土亻󰁷丶
牧	牜夂󰁶
售	亻󰁷口󰀘
蓝	艹〢𠂉皿
镜	钅立日儿
震	󰀙厂二󰀖
罢	罒土厶󰁧
锅	钅口冂人
绕	纟弋丿儿
软	车⺈人󰁶
拥	扌月丨󰀢
尊	丷西一寸
豆	一口䒑󰀘
礼	礻󰁶乚󰁀
剩	禾丬匕刂
擦	扌宀󰁯小
耕	三󰅇二󰀯
颜	立丿彡贝
泰	三人氺󰁧
菌	艹囗禾󰁧
绩	纟主贝󰁶
勤	廿口主力
竹	𠂉丨𠂉亅
拖	扌𠂉也󰁀
尤	乚丶󰀦
伍	亻五󰀝
匀	勹冫󰀌
锋	钅夂三丨
爆	火日󰁺氺
刊	干刂󰀢
姓	女丿主󰀝
仿	亻方ノ
尾	尸丿二乚
脉	月丶𠃌󰀩
违	二𠃌丨辶
欲	八人口人
筒	⺮冂一口
洞	氵冂一口
璃	王亠乂厶
墨	󰀹土灬土
默	󰀹土灬丶
邦	三丿阝󰀢
稍	禾⺌月󰀝
丽	一冂丶丶
珠	王󰅎󰅇󰁶
梅	木𠂉母󰁶
喝	口日勹󰄃
币	丿冂丨󰀵
窗	宀八丿夕
氏	󰁚弋󰁫
潜	氵二人日
抱	扌勹巳󰁀
森	木木木󰁧
袖	衤󰁧由󰀝
喊	口厂一丶
毁	臼工几又
艰	又彐󰀖󰁶
挑	扌儿󰀪󰁶
焦	亻󰁷灬󰁧
灾	宀火󰁧
泡	氵勹巳󰁀
摩	广木木手
夹	一丷大󰀦
枝	木十又󰁶
埃	土厶𠂉大
呈	口王󰀘
咱	口丿目󰀝
描	扌艹田󰀝
池	氵也󰁀
姐	女󰀐一󰀝
寒	宀󰀀八󰁦
宫	宀口口󰀘
戴	土田󰁺丶
赤	土󰁖󰁧
腰	月覀女󰀝
寸	寸一亅丶
敬	艹勹口夂
懂	忄艹丿土
忆	忄乙󰁀
洁	氵士口󰀝
丹	󰀼亠󰀌
渡	氵广廿又
跃	口止丿大
贝	贝丨󰁈丶
碰	石䒑󰅊一
凝	冫匕𠂉󰁾
诸	讠土丿日
励	厂一󰁡力
幕	艹日大丨
柱	木丶王󰀝
奖	丬夕大󰁧
缘	纟󰅂一󰀓
奶	女乃ノ
智	𠂉大口日
污	氵二ㄅ󰁀
奔	大十廾󰀬
扫	扌彐󰀝
隶	󰁬氺󰀦
网	冂乂乂󰀦
饱	⺈󰁐勹巳
魏	禾女白厶
肃	󰁬󰅏󰀯󰀵
轨	车九󰁀
虎	󰅋七几󰁫
杜	木土󰀝
隐	阝⺈彐心
兄	口儿󰀅
廷	丿士廴󰀌
鉴	〢𠂉丶金
寻	彐寸󰁧
袋	亻󰀁丶󰀔
申	日丨󰀵
隆	阝夂一主
诚	讠厂𠃌丶
遵	丷西一辶
票	覀二小󰁧
梦	木木夕󰁧
哲	扌斤口󰀘
纱	纟小丿ノ
亩	亠田󰀘
猛	犭ノ子皿
兼	䒑󰁬󰁗󰁧
埔	土一月丶
珍	王人彡ノ
抢	扌人⺋󰁀
趣	土󰁾耳又
厘	厂日土󰀌
允	厶儿󰀅
博	十一月寸
鬼	白󰁜厶󰀦
荒	艹亠󰄃󰀸
铺	钅一月丶
伦	亻人匕󰁀
汤	氵ㄋ󰁤ノ
恰	忄人一口
拔	扌又丶
恐	工几丶心
弯	亠󰁗弓󰀅
晓	日弋丿儿
圣	又土󰀘
颗	日木丆贝
奏	三人一大
妹	女二󰅇󰁶
忠	口丨心󰁧
循	彳⺁十目
沟	氵勹厶󰁶
航	丿󰁪亠几
柴	止匕木󰁧
碍	石日一寸
舟	丿󰁪󰀦
寄	宀大丁口
钻	钅󰀥口󰀝
抬	扌厶口󰀝
郑	䒑大阝󰀢
稀	禾乂丨
页	丆贝󰁧
喷	口十艹贝
摸	扌艹日大
炭	山火󰁧
巧	工一ㄅ󰁀
柯	木丁口󰀝
贴	贝󰀥口󰀝
桌	󰀥日木󰁧
劲	ス工力ノ
腾	月䒑大一
妻	一󰁬丨女
铸	钅三丿寸
锐	钅丷口儿
陶	阝勹󰅎山
弃	亠厶廾󰀬
赫	土󰁖土󰁖
乏	丿之󰁧
阔	门氵丿古
紫	止匕ㄠ小
牌	丿丨一十
挤	扌文󰀯󰀢
迷	米辶󰀦
闹	门亠冂丨
罚	罒讠刂󰀬
拍	扌白󰀝
码	石󰀊一󰀝
偶	亻日冂丶
祥	礻󰁶䒑󰀟
届	尸由󰀌
邻	人丶󰁻阝
暂	车斤日󰀘
膜	月艹日大
乌	勹ㄅ一󰀌
磷	石米夕丨
胆	月日一󰀝
撤	扌亠厶夂
戏	又戈󰁶
辉	⺌一儿车
讯	讠⺄十󰀢
仁	亻二󰀝
巩	工几丶󰁶
碧	王白石󰀘
瓜	⺁厶󰂃󰀦
忍	刀丶心󰁧
签	⺮人一一
邓	又阝󰀢
吉	士口󰀘
储	亻讠土日
桂	木土土󰀝
递	丷弓丨辶
疗	疒了󰀵
宾	宀󰅍一八
滴	氵亠丷古
柬	一󰀹󰅇󰀦
绳	纟口日乚
扰	扌乚丶
洛	氵夂口󰀝
腿	月彐󰀖辶
详	讠䒑󰀟󰀢
虫	虫丨󰁈丶
牲	牜丿主󰀝
悲	丨三丨心
呆	口木󰁧
齿	止人凵󰀬
狂	犭ノ王󰀝
柳	木󰁚丿卩
暖	日爫一又
竞	立口儿󰀅
链	钅车辶󰁶
催	亻山亻󰁷
仲	亻口丨󰀢
烂	火丷三󰀝
醒	西一日主
挖	扌宀八乙
纹	纟文󰁶
哭	口口大丶
畜	亠ㄠ田󰀘
玩	王二儿󰁀
籍	⺮三󰅇日
浅	氵二󰅅丶
缝	纟夂三辶
怒	女又心󰁧
貌	豸白儿󰁀
悉	丿米心󰁧
乃	乃ㄋ丿
踏	口止水日
柔	󰁻乛亅木
享	亠口子󰀘
赏	⺌冖口贝
冒	曰目󰀘
圭	土土󰀘
浆	丬夕水󰁧
晨	日厂二󰀖
彼	彳󰅌又󰁶
呵	口丁口󰀝
肩	丶尸月󰀌
爬	⺁丨󰂃巴
皆	󰁴匕白󰀘
氨	󰅎⺄宀女
纵	纟人人󰁶
租	禾󰀐一󰀝
尘	小土󰀘
巡	巛辶󰁫
绪	纟土丿日
瓶	䒑廾一丶
帽	冂丨曰目
泉	白水󰁧
幼	ㄠ力ノ
稿	禾亠口口
钠	钅冂人󰁶
冠	冖二儿寸
弧	弓⺁厶󰂃
趋	土󰁾⺈彐
渔	氵󰁢一󰀝
役	彳几又󰁶
伴	亻丷󰀟󰀢
辟	尸口立十
抚	扌二󰁜󰁀
伐	亻戈󰁶
凭	亻丿士几
纠	纟󰁐丨󰀢
敏	𠂉母夂󰁶
霸	󰀙廿口月
铝	钅口口󰀝
凤	几又󰀦
羊	䒑󰀟󰀬
婆	氵󰅌又女
袭	ヒ丶󰀔
祝	礻󰁶口儿
牢	宀丿󰀟󰀬
浙	氵扌斤󰀢
锁	钅⺌贝󰁶
译	讠又󰀟󰀢
糊	米古月󰀝
胸	月勹乂凵
壳	士冖几󰀅
胁	月力八󰁶
爹	八乂夕夕
愤	忄十艹贝
涂	氵人一木
疆	弓土一一
辈	丨三丨车
迟	尸󰂃辶󰀦
龄	止人凵󰁻
奥	丿ㄇ米大
逆	䒑凵丿辶
填	土十󰀣八
寿	三丿寸󰁧
轧	车乚󰁀
旦	日一󰀘
恨	忄彐󰀖󰁶
融	一口冂虫
署	罒土丿日
搬	扌丿󰁪又
秩	禾󰅎人󰁶
铅	钅几口󰀝
盆	八刀皿󰀘
鸣	口勹丶一
杯	木丆卜󰁶
灌	氵艹口󰁷
阀	门亻戈󰀦
串	口口丨󰀵
豪	亠口冖󰀓
患	口口丨心
挺	扌丿士廴
沈	氵冖󰁜󰁀
掩	扌大日乚
乳	爫孑乚󰁀
鸟	勹丶ㄅ一
韩	十日十丨
贮	贝宀一󰀝
添	氵一大⺗
扣	扌口󰀝
逼	一口田辶
悬	󰀐一厶心
岭	山人丶󰁻
宇	宀一󰀛󰀬
臂	尸口立月
烯	火乂丨
凉	冫亠口小
朵	几木󰁧
侦	亻󰀥贝󰁶
秒	禾小丿ノ
稻	禾爫臼󰀝
番	丿米田󰀘
眉	󰁅目󰀌
驱	󰀊󰀞匚乂
螺	虫田ㄠ小
氮	󰅎⺄火火
丈	󰂃󰀦
漫	氵日罒又
筹	⺮三丿寸
琴	王王人乛
厅	厂丁󰀵
雾	󰀙夂力󰁣
陕	阝一丷大
辽	了辶󰀵
巯	ス工亠󰀸
绘	纟人二厶
梯	木丷弓丿
鞋	廿口十土
拟	扌󰁐丶人
孤	孑⺁厶󰂃
拜	三十󰀢
僚	亻大丷小
辑	车口耳󰀝
倡	亻日日󰀝
丙	一冂人󰀦
仰	亻󰁚卩󰀢
惜	忄󰁺日󰀝
斥	斤丶󰀦
扶	扌二人󰁶
漏	氵尸雨󰁶
俗	亻八人口
苗	艹田󰀘
姆	女母󰁶
辅	车一月丶
拒	扌匚󰁃󰀝
偿	亻⺌冖厶
碗	石宀夕⺋
锡	钅日勹󰁤
返	⺁又辶󰀦
狗	犭ノ勹口
鸿	氵工勹一
辞	丿古立十
埋	土日土󰀝
芽	艹󰀂亅丿
矩	𠂉大匚󰁃
岗	山冂乂󰁧
燥	火口口木
崇	山宀二小
庙	广由󰀌
咬	口亠八乂
赋	贝二止丶
奉	三人󰀟󰀬
厉	厂一󰁡󰀏
桃	木儿󰀪󰁶
孟	子皿󰀘
摄	扌耳又又
阅	门丷口儿
涌	氵󰁻月丨
啥	口人干口
妙	女小丿ノ
勾	勹厶󰀦
讼	讠八厶󰁶
橡	木⺈口󰀓
蚀	⺈󰁐虫󰁶
蜡	虫󰁺日󰀝
抛	扌九力ノ
狠	犭ノ彐󰀖
熙	匚丨口灬
扭	扌󰁈丨二
拨	扌ㄥ丿丶
蒋	艹丬夕寸
框	木匚王󰀝
冻	冫󰀂小󰁶
亏	二ㄅ󰁫
嫩	女一口夂
叙	人一木又
剪	䒑月刂刀
曼	日罒又󰁧
叛	丷󰀠⺁又
杰	木灬󰁧
劝	又力ノ
叔	󰀥一小又
熔	火宀八口
饮	⺈󰁐⺈人
仔	亻子󰀝
骗	󰀊󰀞丶艹
撞	扌立日土
桑	又又又木
屈	尸凵山󰀵
棒	木三人󰀟
赖	一口󰅇贝
刷	尸冂丨刂
估	亻古󰀝
淀	氵宀一󰁾
吏	一口乂󰀦
笼	⺮ヒ丶
簧	⺮󰁺由八
扇	丶尸羽󰀌
谱	讠䒑󰅊日
酷	西一丿口
衰	亠口一󰀔
棚	木月月󰀝
壤	土亠口󰀔
苯	艹木一󰀘
伪	亻丶丿丶
轰	车又又󰁧
侨	亻丿大󰀯
牵	大冖丿󰀟
鼻	丿目田󰀯
叹	口又󰁶
骂	口口󰀊一
骤	󰀊󰀞耳乑
丧	十䒑󰀖󰁧
旺	日王󰀝
哩	口日土󰀝
隙	阝小日小
曹	一ㄇ󰁺日
疾	疒𠂉大󰀦
吐	口土󰀝
册	󰀼󰀼一󰀌
覆	覀彳𠂉夂
晋	一󰅊一日
扑	扌卜󰁶
御	彳󰅎止卩
搜	扌臼丨又
仗	亻󰂃󰁶
昨	日𠂉丨二
舒	人干口亅
株	木󰅎󰅇󰁶
嘛	口广木木
欣	斤⺈人󰁶
胀	月丿七󰂃
砂	石小丿ノ
腔	月宀八工
偷	亻人一刂
络	纟夂口󰀝
顽	二儿丆贝
涨	氵弓丿󰂃
甜	丿古艹二
吊	口冂丨󰀬
盗	冫⺈人皿
杭	木亠几󰁀
尸	尸󰁈一丿
捉	扌口󰁾󰁶
毅	立󰀓几又
迈	一󰁡辶󰀏
脏	月广土󰀝
狱	犭ノ讠丶
搭	扌艹人口
飘	覀二小乂
炎	火火󰁧
瘦	疒臼丨又
浸	氵彐冖又
硅	石土土󰀝
跨	口止大ㄅ
浇	氵弋丿儿
粘	米󰀥口󰀝
雅	󰀂亅丿󰁷
昆	日󰁴匕󰀅
槽	木一ㄇ日
漆	氵木人氺
抑	扌󰁚卩󰀢
悄	忄⺌月󰀝
蓄	艹亠ㄠ田
锦	钅白冂丨
歪	丆卜一止
贷	亻󰀁丶贝
烦	火丆贝󰁶
撒	扌󰁺月夂
沸	氵弓󰀯󰀢
闲	门木󰀦
亭	亠口冖丁
肚	月土󰀝
掘	扌尸凵山
邀	白方夂辶
郎	丶彐厶阝
浩	氵丿土口
燕	廿口丬灬
漂	氵覀二小
惩	彳一止心
妥	爫女󰀘
傅	亻一月寸
牺	牜西󰀝
贪	人丶乛贝
迁	丿十辶󰀵
渠	氵匚󰁃木
丢	丿土厶󰁧
鸭	甲勹丶一
绒	纟戈ノ
钉	钅丁󰀢
滩	氵又亻󰁷
帐	冂丨丿󰂃
硝	石⺌月󰀝
耀	⺌一儿󰁷
膨	月士口彡
邮	由阝󰀢
贤	〢又贝󰁧
誉	󰀧一八言
瓷	冫⺈人丶
欺	艹三八人
丛	人人一󰀘
抹	扌一木󰁶
忧	忄乚丶
陪	阝立口󰀝
吾	五口󰀘
劣	小丿力󰁣
惠	一日丨心
钾	钅甲󰀢
焰	火⺈臼󰀝
徽	彳山一夂
堡	亻口木土
凶	乂凵󰀵
摘	扌亠丷古
闷	门心󰀦
脆	月⺈厂⺋
姚	女儿󰀪󰁶
雕	󰀼土口󰁷
陵	阝土八夂
董	艹丿一土
诺	讠艹口
泵	石水󰁧
赴	土󰁾卜󰀦
剑	人一󰀧刂
腊	月󰁺日󰀝
窝	宀八口人
卢	󰀥尸󰁣
锻	钅亻三又
罐	󰅎山艹󰁷
览	〢𠂉丶󰁜
宴	宀日女󰀘
昏	󰁚弋日󰀘
溪	氵爫ㄠ大
疯	疒几乂󰀦
逮	󰁬氺辶󰀦
裕	衤󰁧八口
盈	乃又皿󰀘
勘	艹三八力
缴	纟白方夂
穆	禾白小彡
幻	ㄠ𠃌󰁀
锥	钅亻󰁷󰀝
坑	土亠几󰁀
宿	宀亻丆日
泼	氵ㄥ丿丶
湘	氵木目󰀝
垄	ヒ丶土
饰	⺈󰁐𠂉丨
驶	󰀊󰀞口乂
煮	土丿日灬
刮	丿古刂󰀢
砍	石⺈人󰁶
疏	乛止亠󰀸
旱	日干󰀬
慌	忄艹亠󰀸
渗	氵厶大彡
戈	戈一󰁒丶
汪	氵王󰀝
悟	忄五口󰀝
昂	日󰁚卩󰀬
桶	木󰁻月丨
颇	󰅌又丆贝
骑	󰀊󰀞大口
佳	亻土土󰀝
霍	󰀙亻󰁷󰀘
旨	匕日󰀘
芯	艹心󰁧
畅	日丨ㄋ󰁤
旬	勹日󰀌
摊	扌又亻󰁷
墙	土十䒑口
敲	亠口冂又
蔬	艹乛止󰀸
痕	疒彐󰀖󰀦
惨	忄厶大彡
钙	钅一󰀥ㄅ
尝	⺌冖二厶
棱	木土八夂
辨	立丶十
箭	⺮䒑月刂
躺	丿󰀽三口
苍	艹人⺋󰀅
莱	艹一米󰁧
债	亻主贝󰁶
吞	一大口󰀘
坝	土贝󰁶
卿	󰁚丿彐卩
挡	扌⺌彐󰀝
柏	木白󰀝
萧	艹󰁬󰅏󰀯
颠	十󰀣八贝
霉	󰀙𠂉母󰁧
谊	讠宀󰀐一
妨	女方ノ
黏	禾人氺口
漠	氵艹日大
辆	车一冂人
郊	亠八乂阝
俩	亻一冂人
彭	士口䒑彡
夕	夕丿乛丶
凌	冫土八夂
宏	宀厶󰁧
逻	罒夕辶󰀦
淮	氵亻󰁷󰀝
饥	⺈󰁐几󰁀
熊	厶月匕灬
绅	纟日丨󰀢
霞	󰀙󰁃丨又
冶	冫厶口󰀝
垫	扌九丶土
蓬	艹夂三辶
冯	冫󰀊一󰀝
喂	口田一󰀖
瞧	目亻󰁷灬
玄	亠ㄠ󰁧
岂	山己󰀅
叠	又又又一
葡	艹勹一丶
哀	亠口󰀔󰁧
仙	亻山󰀢
吓	口一卜󰁶
棋	木艹三八
滨	氵宀󰅍八
丘	󰅍一󰀌
佩	亻几一丨
寺	土寸󰁧
犹	犭ノ丶
禄	礻󰁶󰁭氺
驰	󰀊󰀞也󰁀
莲	艹车辶󰁧
匹	匚儿󰁫
徙	彳止󰁾󰁶
诬	讠工人人
拾	扌人一口
枯	木古󰀝
浑	氵冖车󰀢
颂	八厶丆贝
驳	󰀊󰀞乂乂
慰	尸二小心
诱	讠禾乃ノ
勿	勹󰁤󰀏
邰	厶口阝󰀢
歇	日勹人人
阁	门夂口󰀌
嘉	士口䒑口
沫	氵一木󰁶
拳	䒑大手󰀬
饼	⺈󰁐䒑廾
戚	厂󰀥一丶
皱	⺈彐󰅌又
掠	扌亠口小
塘	土广󰁬口
仇	亻九󰁀
锭	钅宀一󰁾
竭	立日勹󰄃
娃	女土土󰀝
冤	冖⺈口丶
凸	丨一丨一
拆	扌斤丶󰁶
曰	日丨󰁈一
掀	扌斤⺈人
朴	木卜󰁶
摧	扌山亻󰁷
溜	氵󰁚丶田
卸	󰅎止卩󰀢
堵	土土丿日
筛	⺮リ一丨
疲	疒󰅌又󰀦
栽	土木󰅅丶
胎	月厶口󰀝
腹	月𠂉日夂
驾	力口󰀊一
纬	纟二𠃌丨
扯	扌止󰀝
颁	八刀丆贝
饿	⺈󰁐丿丶
悠	亻丨夂心
祸	礻󰁶口人
慧	三丨三心
舰	丿󰁪ㄇ󰁜
姿	冫⺈人女
恋	亠󰁗心󰁧
遂	䒑󰀓辶󰀦
卧	匚丨󰁃卜
怨	夕⺋心󰁧
醉	西一亠十
廉	广䒑󰁬󰁗
遣	口丨一辶
狭	犭ノ一大
菲	艹丨三三
犁	禾刂丿󰀟
侯	亻ユ𠂉大
羽	羽𠃌丶󰀞
姻	女囗大󰁶
抖	扌󰁦十󰀢
契	三丨刀大
萄	艹勹󰅎山
阐	门丷󰅐󰀵
盲	亠󰄃目󰀘
躲	丿󰀽三木
韦	二𠃌丨󰀵
谐	讠󰁴匕白
兆	儿󰀪󰀦
舌	丿古󰀌
佐	亻工󰀝
屏	尸䒑廾󰀵
妄	亠󰄃女󰀘
肠	月ㄋ󰁤ノ
酵	西一土子
墓	艹日大土
恒	忄一日一
缸	󰅎山工󰀝
柄	木一冂人
敦	亠口孑夂
慎	忄十󰀣八
堤	土日一󰁾
逝	扌斤辶󰀵
贼	贝戈ノ
辖	车宀三口
魂	二厶白厶
押	扌甲󰀢
栏	木丷三󰀝
祟	凵山二小
肖	⺌月󰀘
茅	艹󰁻乛丿
捷	扌一󰁬󰁾
捞	扌艹冖力
艳	三丨⺈巴
蜂	虫夂三丨
逢	夂三丨辶
罩	罒󰀥日十
档	木⺌彐󰀝
兽	丷田一口
辱	厂二󰀖寸
搅	扌󰀧冖󰁜
臭	丿目大丶
蔽	艹丷冂夂
铃	钅人丶󰁻
乔	丿大󰀯󰀬
雇	丶尸亻󰁷
挽	扌⺈口󰁜
芬	艹八刀󰁣
砌	石七刀ノ
拌	扌丷󰀟󰀢
翠	羽亠人十
醇	西一亠子
弥	弓⺈小󰁶
嫂	女臼丨又
粹	米亠人十
披	扌󰅌又󰁶
狼	犭ノ丶󰀖
窄	宀八𠂉二
柜	木匚󰁃󰀝
淋	氵木木󰁶
晴	日主月󰀝
拘	扌勹口󰀝
寂	宀󰀥一又
滋	氵䒑ㄠㄠ
鸦	󰀂亅丿一
誓	扌斤言󰀘
咸	厂一口丶
茫	艹氵亠󰄃
凑	冫三人大
芝	艹之󰁧
餐	󰀥夕又󰀖
账	贝丿七󰂃
幽	山ㄠㄠ󰀦
殿	尸󰁺八又
盒	人一口皿
篡	⺮目大厶
萌	艹日月󰀘
挣	扌⺈󰁬亅
畏	田一󰀖󰁧
遥	爫󰅎山辶
颤	亠囗口贝
酬	西一丶丨
奸	女干󰀢
厌	厂大丶󰀦
洒	氵西󰀝
垦	彐󰀖土󰀘
赔	贝立口󰀝
挨	扌厶𠂉大
抄	扌小丿ノ
缔	纟亠丷丨
峡	山一丷大
芦	艹丶尸󰁣
倘	亻⺌冂口
坯	土丆卜一
履	尸彳𠂉夂
巾	冂丨󰀵
宙	宀由󰀘
劫	土厶力ノ
酿	西一丶󰀖
矣	厶𠂉大󰁧
闯	门󰀊一󰀌
晃	日⺌一儿
帜	冂丨口八
捐	扌口月󰀝
矮	𠂉大禾女
澳	氵丿ㄇ大
愁	禾火心󰁧
窃	宀八七刀
烘	火󰁺八󰁶
昭	日刀口󰀝
奈	大二小󰁧
滥	氵〢𠂉皿
戒	戈廾󰀵
丑	󰁈丨二󰀌
蔡	艹󰁯二小
遮	广廿灬辶
肺	月一冂丨
喀	口宀夂口
膀	月亠丷方
夸	大二ㄅ󰀅
馏	⺈󰁐󰁚田
俱	亻󰀣八󰁶
澄	氵癶一䒑
窑	宀八󰅎山
稼	禾宀一󰀓
仆	亻卜󰁶
壶	士冖󰅊一
蔑	艹罒厂丶
裤	衤󰁧广车
渣	氵木日一
姜	丷王女󰀘
媳	女丿目心
爽	大乂乂乂
岌	山乃󰂃󰁧
绵	纟白冂丨
纶	纟人匕󰁀
饶	⺈󰁐弋儿
竖	〢又立󰀘
椅	木大丁口
捧	扌三人󰀟
吕	口口󰀘
纽	纟󰁈丨二
拚	扌厶廾󰀢
殷	⺁彐𠃌又
鼠	臼󰁐󰁦󰁒
卑	白丿十󰀬
涛	氵三丿寸
郁	月阝󰀢
汁	氵十󰀢
闽	门虫󰀦
焊	火日干󰀢
孝	土丿子󰀘
颈	ス工丆贝
茂	艹厂󰅅丶
舆	󰀗车一八
唤	口⺈ㄇ大
肌	月几󰁀
址	土止󰀝
掏	扌勹󰅎山
伞	人丷十󰀬
鞭	廿口十乂
缚	纟一󰀐寸
撑	扌⺌冖手
杠	木工󰀝
鼎	目󰁕丆󰁈
谴	讠口丨辶
涤	氵夂木󰁶
询	讠勹日󰀝
哨	口⺌月󰀝
帅	リ冂丨󰀢
宅	宀丿七󰀅
堪	土艹三󰄃
韧	二𠃌丨丶
拦	扌丷三󰀝
眠	目󰁃󰁐弋
麟	广󰁃〢丨
碑	石白丿十
缠	纟广日土
巷	󰁺八巳󰀅
趁	土󰁾人彡
秧	禾ㄇ大󰁶
猜	犭ノ主月
欠	⺈人󰁧
坛	土二厶󰁶
茎	艹ス工󰀘
晒	日西󰀝
榜	木亠丷方
炳	火一冂人
挫	扌人人土
跌	口止󰅎人
糟	米一ㄇ日
攀	木乂乂手
酯	西一匕日
慨	忄彐厶󰁜
携	扌亻󰁷乃
鄂	口口二阝
氛	󰅎⺄八刀
霜	󰀙木目󰀘
棍	木日󰁴匕
锤	钅丿十一
沾	氵󰀥口󰀝
侍	亻土寸󰁶
斑	王文王󰀝
豫	󰁻乛亅󰀓
辊	车日󰁴匕
崩	山月月󰀘
萍	艹氵一十
儒	亻󰀙丆〢
蓉	艹宀八口
谬	讠羽人彡
惟	忄亻󰁷󰀝
浊	氵虫󰁶
吵	口小丿ノ
揉	扌󰁻乛木
蛮	亠󰁗虫󰁧
瞬	目爫冖丨
叉	又丶󰀦
缆	纟〢𠂉󰁜
荐	艹丨子
哎	口艹乂󰁶
溉	氵彐厶󰁜
悦	忄丷口儿
朽	木一ㄅ󰁀
赠	贝丷󰀺日
郡	󰁬丿口阝
踪	口止宀小
泄	氵廿󰄃󰁀
疼	疒夂󰁦󰀦
剖	立口刂󰀢
苹	艹一丷十
锌	钅立十󰀢
耶	耳阝󰀢
妃	女己󰁀
迪	由辶󰀌
孳	䒑ㄠㄠ子
睁	目⺈󰁬亅
亥	亠ㄥ丿人
弊	丷冂󰅏廾
匠	匚斤󰀵
桐	木冂一口
嫌	女䒑󰁬󰁗
岳	󰅍一山󰀬
乾	十日十乙
酚	西一八刀
穴	宀八󰁧
嫁	女宀一󰀓
烤	火土丿ㄅ
玲	王人丶󰁻
捣	扌勹丶山
甫	一月丨丶
邵	刀口阝󰀢
潭	氵覀日十
慕	艹日大⺗
炒	火小丿ノ
浒	氵讠𠂉十
畴	田三丿寸
匪	匚丨三三
撕	扌艹三斤
嚷	口亠口󰀔
溢	氵䒑八皿
顷	󰁴丆贝󰁶
聪	耳丷口心
翁	八厶羽󰀘
沃	氵丿大󰁶
谦	讠䒑󰁬󰁗
晰	日木斤󰀢
甸	勹田󰀌
歧	止十又󰁶
诊	讠人彡ノ
祁	礻󰁶阝󰀢
咨	冫⺈人口
潘	氵丿米田
谭	讠覀日十
礁	石亻󰁷灬
弓	弓󰁈一ㄅ
屠	尸土丿日
酶	西一𠂉母
枢	木匚乂󰁶
吟	口人丶乛
喉	口亻ユ大
浴	氵八人口
颖	匕禾丆贝
症	疒一止󰀌
衬	衤󰁧寸󰁶
溃	氵口丨贝
崖	山厂土土
勉	⺈口󰁜力
卓	󰀥日十󰀬
琼	王亠口小
迭	󰅎人辶󰀦
婴	贝贝女󰀘
沪	氵丶尸ノ
氟	󰅎⺄弓󰀯
绞	纟亠八乂
挪	扌𠃌󰀠阝
辣	立一󰅇
仑	人匕󰀅
庞	广ヒ丶
诞	讠丿止廴
吁	口一󰀛󰀢
醋	西一󰁺日
浦	氵一月丶
菱	艹土八夂
耻	耳止󰀝
俘	亻爫子󰀝
谣	讠爫󰅎山
篮	⺮〢𠂉皿
廊	广丶彐阝
惧	忄󰀣八󰁶
蹲	口止丷寸
盼	目八刀ノ
赐	贝日勹󰁤
挠	扌弋丿儿
陡	阝土󰁾󰁶
棵	木日木󰁶
翅	十又羽󰀌
峻	山厶八夂
俺	亻大日乚
厨	厂一口寸
翔	䒑󰀠羽󰀝
