礼	二小乚󰁀
峷	山辛󰀬
醰	西一覀早
憰	忄󰁻乛口
㡛	冂丨艹󰀸
䡛	車車󰀢
峔	山土丿匕
㧱	人一口手
崄	山人一一
㞆	乚大口
获	艹犭󰁥犬
崊	山木木󰁶
潇	氵艹󰁬󰀯
瞆	目口丨贝
佇	亻宀丁󰀢
垆	土󰀥尸ノ
䄗	礻󰁶󰀲一
崋	山一艹󰀟
螆	虫䒑幺幺
鞆	廿󰀜一人
㳬	氵𠂉乛󰁾
搐	扌亠ㄠ田
关	䒑大󰁧
䳬	廿󰀜󰁟灬
煳	火古月󰀝
慳	忄匚丨土
鳬	󰁟几󰀅
腳	月八人卩
晆	日土土󰀝
徙	彳止󰁾󰁶
崘	山人一艹
崙	山人一艹
崚	山土八夂
崜	山丿士󰁺
䭀	人良⺄辶
則	貝刂󰀢
煰	火口口口
䅰	禾囗大心
忡	忄口丨󰀢
䠬	口止癶阝
㝆	孑士口口
㿭	斤丶皮󰁶
崬	山木曰󰀘
崯	山金󰀝
睆	目宀二儿
杆	木干󰀢
徇	彳勹日󰀝
侇	亻一弓人
崱	山貝刂󰀬
韛	󰁆口㐄用
龇	止人凵匕
辇	二人二车
䤐	西一󰀄日
䠼	丿󰀽三刂
䝬	貝丶王󰀝
嵔	山田一󰀖
赭	土󰁖土日
䀰	目八人口
倰	亻土八夂
耰	二木丆夂
鶬	人丶彐灬
㾽	疒丿󰃧辶
炳	火一冂人
肳	月勹󰁤󰁥
傳	亻一曰寸
涬	氵土䒑十
㶬	火一木󰁶
䂳	石人人土
侽	亻田力󰁥
嵐	山几丿虫
䞬	土󰁾禾乃
㚳	女力口󰀝
嵅	山戊一口
嵕	山乂凵夂
灚	氵󰀗乂儿
嵗	山戊一󰀤
瘆	疒厶大彡
蘆	艹虍田皿
阆	门丶彐󰀖
遚	臼丨又辶
㘆	口士口土
䘆	虫宀三心
巇	山虍一戈
淇	氵艹三八
嵜	山立口亅
臰	丿目一匕
䠛	口止爫凵
㽽	疒古󰀌
䶀	士口䒑口
嵡	山八厶羽
嵥	山夕㐄木
嵰	山䒑󰁬八
啇	亠丷冂古
鵬	月月󰁟灬
胳	月夂口󰀝
烳	火甫󰁶
想	木目心󰁧
僳	亻覀米󰁶
䃳	石巛囗󰁒
㵬	氵月乃皿
蝛	虫戊一女
嶈	山爿󰁝寸
䪥	󰀥冖一一
杛	木弓󰁀
嶊	山扌亻󰁷
㨐	扌亻口木
悰	忄宀二小
摼	扌匚丨土
藆	艹宀󰀀手
痆	疒尸匕󰁫
䣱	西一勹口
鸇	亠囗口灬
万	一󰁡󰀏
㗆	口廿󰀜󰀢
渇	氵曰勹匕
帇	󰁬冂丨󰀵
肰	月犬󰁶
䘭	衤󰁧一土
钆	钅乚󰁀
唀	口禾乃󰁥
璆	王羽人彡
豇	一口䒑工
咆	口勹巳󰁀
汇	氵匚󰁀
㱇	土人人人
耳	耳一丨一
逳	亠厶月辶
嶕	山亻󰁷灬
㸬	牜一冂丨
丬	丬丶󰀞丨
帬	󰁬丿口丨
怳	忄口儿󰁀
嶗	山火火力
瞛	目彳人󰁾
勗	曰󰀐󰀞力
䘽	衤󰁧臼儿
嘽	口口口十
䞛	土󰁾一ㄅ
㞛	尸彳匕日
荡	艹氵ㄋ󰁤
恀	忄夕夕󰁶
聰	耳丿囗心
䗭	虫口口心
嶦	山⺈厂言
䕀	艹士二人
㕀	由⺋󰀅
嶫	山业䒑未
嶬	山丷王丶
嶭	山丿󰃧辛
嶮	山人一人
䌗	糹𠂉一灬
鑆	釒业丷寸
葆	艹亻口木
瑆	王日丿
摆	扌罒土厶
岇	山󰁚卩󰀬
跬	口止土土
㑆	亻口儿󰁀
嶰	山⺈用󰀟
遳	艹人人辶
䁳	目艹犬廾
㷬	火艹日大
淬	氵亠人十
偳	亻山丆〢
嶲	山亻󰁷𠃌
職	耳亠丷日
䚭	⺈用艹󰁷
嶾	山爫工心
灷	火廾󰀬
恷	亻木心󰁧
㚭	女乚丶
鋛	釒口口丨
狛	犭󰁥白󰀝
伟	亻二𠃌丨
勛	口貝力󰁥
缟	纟󰁸冂口
巊	山貝貝女
䚀	丿󰁪目儿
䑗	臼日一󰁤
巋	山丿󰃧丨
巐	山󰁸冂廾
巔	山十󰀣貝
巕	山䒑丿女
䙭	衤󰁧宀󰁾
巖	山口口攵
㺬	王几丶󰁶
怷	十儿丶心
瀷	氵羽田八
溬	氵⺶乚厶
纬	纟二𠃌丨
京	󰁸小󰁧
庬	广乚丶
䀷	目土厶力
倷	亻大二小
躬	丿󰀽三弓
麬	木人人皮
忝	一大⺗󰁧
䛿	言一口丨
巭	工力夫󰁧
巰	一巛工󰀸
礀	石門月󰀝
䥮	釒覀匚卩
辟	尸口辛󰀢
㻇	王人王󰀝
仇	亻九󰁀
圆	囗口贝󰀦
滇	氵十󰀣八
织	纟口八󰁶
蜆	虫目儿󰁀
霆	󰀙丿士廴
馾	󰀋灬冖󰁜
墈	土󰀎八力
㘀	口臼米󰁶
榮	火火冖木
䙛	衤󰁧六󰀔
抁	扌厶儿󰁀
㹬	犭󰁥一乂
䜿	匚丨󰁃䒑
臷	十戈一土
噀	口巳巳八
繬	糹土人口
湬	禾火水󰁧
幬	冂丨士寸
乬	匚󰁃乙󰀅
䙀	衤󰁧月月
㙀	土宀八九
鹬	󰁻乛亅一
蹬	口止癶䒑
㖭	口丿大⺗
䜰	八人口十
悷	忄丶尸犬
㽱	疒󰁐丨󰀵
犛	未攵厂󰀟
䊛	米乂朩又
㛆	女乃木󰁶
藛	艹宀臼灬
囆	口艹曰虫
䛆	言由󰀝
缇	纟日一󰁾
曆	厂禾禾曰
集	亻󰁷木󰁧
輇	車人王󰀝
嗛	口䒑󰁬八
旛	方𠂉丿田
䕷	艹广木小
柞	木𠂉丨二
蕷	艹󰁻乛貝
長	󰀍󰀖󰁧
帣	丷夫冂丨
㖽	口丆貝󰁶
䕭	艹土八火
䗐	方𠂉也虫
疅	田一田一
斅	󰀗乂乂又
鳆	󰁢󰀞𠂉夂
薅	艹女厂寸
㟀	禾山󰀬
厗	厂辛󰀵
㽔	业󰀓丿
䕽	艹口止虫
昛	日匚󰁃󰀝
蘛	艹󰀎八月
㔐	⺮一丨刂
䜀	言刀丶止
䓅	艹氵斤󰀬
哅	口勹乂凵
㐽	亻几乂󰁶
㶆	氵言土日
幊	冂丨工貝
幋	丿󰁪几丨
幏	冂丨宀󰀓
幐	月丷夫丨
姾	女人王󰀝
㘛	口人一三
䏭	月丿未󰁶
幘	冂丨貝
幝	冂丨口十
幟	冂丨亠日
幠	冂丨𠂉灬
幣	㡀攵冂丨
幨	冂丨⺈言
蟰	虫󰁬十󰀲
矰	𠂉大丷日
幱	冂丨門󰀹
洆	氵了󰀩一
畅	日丨ㄋ󰁤
蕅	艹氵曰丶
鴆	冖󰁜󰁟灬
疛	疒寸󰀦
幷	丿一干
閷	乂朩門人
庁	广丁󰀵
庈	广人丶乛
䛐	𠃌一口言
䖛	虍几十小
㾔	疒口口󰀌
㳆	氵󰁦十󰀢
㵰	氵󰀗一八
喅	口曰立󰀝
䳆	白󰁟灬󰁶
駒	󰀋灬勹口
䵰	󰀹土灬󰁤
䑽	丿󰁪日羽
庘	广甲󰀵
癷	癶干󰀬
虷	虫干󰀢
䱔	󰁢灬亻攵
僛	亻󰀎八人
䘐	丿皿刀八
匬	匚人一刂
庨	广土丿子
塳	土夂三辶
䆇	禾几󰁟灬
驆	󰀋灬曰󰀟
舅	臼田力󰁣
穆	禾白小彡
磮	石山人艹
磁	石䒑ㄠㄠ
䙐	衤󰁧一丨
蘷	艹丆日夂
昷	曰皿󰀘
瘷	疒木口攵
焛	門火󰀦
鄛	巛曰木阝
乮	󰁚丿卩乙
庽	广曰冂丶
儛	亻𠂉一㐄
樒	木宀心山
勽	勹人󰀦
㴆	氵彐冖丨
䴆	业䒑夫灬
啅	口󰀥早󰀢
廁	广貝刂󰀵
兇	乂凵儿󰀅
䅇	覀禾󰁧
㞐	尸立󰀌
廄	广󰁮几又
䎭	二木丿辶
蓷	艹扌亻󰁷
擷	扌士口貝
䀇	古𠂉十皿
䟐	土󰁾厂止
廘	广󰁙󰁴匕
廙	广田󰁺八
骆	󰀊󰀞夂口
朽	木一ㄅ󰁀
窆	宀八丿之
臅	月罒勹虫
䣔	⺌貝阝󰀢
摛	扌亠乂厶
鑛	釒广󰁺八
䚷	言八一ㄅ
䍽	⺶厂禾止
廡	广𠂉一灬
廣	广󰁺由八
䂗	石ヒ󰁀
皷	士口䒑皮
蚷	虫匚󰁃󰀝
隷	士二小氺
晅	日一曰一
暑	日土丿日
䈬	⺮氵甫󰁧
㹾	犭󰁥夂口
㝐	宀八厶󰁧
戅	立早工心
婆	氵󰅌又女
䈅	⺮戈口󰀞
㩆	扌󰁸小丶
獷	犭󰁥广八
弅	八刀廾󰀬
弇	人一口廾
湠	氵山火
凬	几一日󰀌
䇬	⺮丿未󰁧
䍷	⺶󰁆口㐄
恧	丆冂〢心
弔	弓丨󰀵
弖	弓一󰀘
弙	弓一󰀛󰀢
弜	弓弓󰁀
鏛	釒⺌冖丨
钅	钅丿一󰁐
傾	亻󰁴丆貝
珛	王月󰀝
撅	扌厂䒑人
密	宀心丿山
蒅	艹氵九木
篆	⺮彑󰀓󰁧
㲆	士󰁅几󰁻
䲆	󰁢灬󰁢灬
菛	艹門󰀘
弡	弓匚󰁃󰀝
䊬	禾日木米
䂆	󰁻乛亅丶
匷	匚目目󰁷
斗	󰁦十󰀵
弮	丷夫弓󰀅
䤔	氵車斤一
选	丿土儿辶
㷰	火亠乂厶
葵	艹癶一大
彃	弓曰艹󰀟
彆	㡀攵弓󰀅
䈀	⺮󰀼󰀼刂
彉	弓󰁺由八
藷	艹言土日
彑	彑ㄥ乛一
䄬	禾也󰁀
潭	氵覀早󰀢
鍛	釒丿丨又
彙	彑冖日木
彚	󰁭冖曰木
鑅	釒火火木
䧔	阝人丶心
卛	言糹糹十
捛	扌口口󰀝
将	丬夕寸󰁶
摅	扌󰅋七心
瑅	王日一󰁾
谆	讠󰁸子󰀝
獛	犭󰁥业夫
㥿	󰁡攵心
䯆	󰀾月乚󰁀
㒅	亻亠夕󰀔
厷	厶󰁧
彧	戈口󰀞󰁤
彨	一冂丶彡
䎛	土丿匕口
鶨	彑󰀓󰁟灬
鎛	釒甫寸󰁶
殆	一夕厶口
䆾	宀八匚皿
沒	氵󰁡又󰁶
廼	西廴󰀌
滼	氵木木丶
䚔	宀一󰀤儿
彾	彳人丶󰁻
彿	彳弓󰀯󰀢
冶	冫厶口󰀝
匰	匚口口十
猰	犭󰁥三大
徃	彳丿󰀝
徆	彳西󰀝
徎	彳口王󰀝
锅	钅口冂人
赆	贝尸󰂃󰁦
甅	一󰁐󰁊土
浆	丬夕水󰁧
徏	彳止󰀤󰁥
泃	氵勹口󰀝
崽	山田心󰁧
徚	彳木󰀹󰀝
徛	彳大丁口
徟	彳󰀼土口
㑅	亻𠂉上󰀝
䑅	月艹罒夕
徠	彳木人人
徣	彳󰁺日󰀝
䌀	糹禾󰁦十
徥	彳日一󰁾
徦	彳󰁃丨又
徧	彳丶尸艹
䄐	凵山二巳
徫	彳󰁆口㐄
徬	彳亠丷方
籸	米⺄十󰀢
湼	氵臼工󰀝
悁	忄口月󰀝
蓉	艹宀八口
徯	彳爫幺大
㷕	丷西一火
㡢	冂丨日󰁡
䡢	車丶尸艹
傡	亻立立󰀝
桢	木󰀥贝󰁶
炡	火一止󰀝
股	月几又󰁶
鶆	木人人灬
涆	氵日干󰀢
瓅	王白幺木
鎰	釒䒑八皿
㫔	日上󰀘
㯱	一口丨木
艛	丿󰁪󰀻女
鉛	釒几口󰀝
區	匚口口口
徺	彳土土儿
徻	彳人一日
嵆	禾乚山
䔅	艹丁口口
㵆	氵日丿口
徿	彳立月三
忀	彳亠口󰀔
忁	彳曰凵氺
㽮	田田田
㺕	犭󰁥丿田
忊	忄丁󰀢
矂	目口口木
獰	犭󰁥宀丁
欱	人一口人
鎅	釒田人󰀯
莅	艹亻立󰀘
㠢	山白󰁜󰀔
镬	钅艹亻又
僡	亻一曰心
䃡	石󰀄󰁜日
砢	石丁口󰀝
栢	木丆日󰀝
郡	󰁬丿口阝
蠢	三人日虫
忕	忄大󰁶
䂬	工几丶石
㓀	冖卜󰁧
忚	忄也󰁀
忞	文心󰁧
忟	忄文󰁶
忢	五心󰁧
䋐	糹戈󰁐󰁀
忩	八厶心󰁧
䁬	目丷󰀺日
沟	氵勹厶󰁶
祝	礻󰁶口儿
忬	忄󰁻乛亅
臛	月󰀙亻󰁷
釛	釒力󰁥
㮆	木人羊󰀢
忷	忄乂凵󰀢
嵬	山白󰁜厶
担	扌日一󰀝
箆	⺮ㄇ人󰁴
䋅	糹丿󰀟󰀢
宆	宀弓󰀅
荅	艹人一口
鬆	󰂞彡木厶
剱	人一口丶
牱	牜丁口󰀝
怡	忄厶口󰀝
瀡	氵阝辶
䀡	目󰀥口󰀝
壢	土厂禾止
艱	廿口夫艮
揰	扌丿一土
裢	衤󰁧车辶
逡	厶八夂辶
䬔	几丿虫刂
䮱	󰀋灬一辶
㮱	木艹丿儿
爛	火門木󰀹
鈛	釒戈󰁶
寱	宀爿丿木
䃾	礻󰁶󰁴匕
囥	囗亠几󰁫
實	宀毌貝󰁧
䛬	言勹𠂉凵
揞	扌立曰󰀝
㰡	人󰀯⺈人
慛	忄山亻󰁷
酛	西一二儿
㫆	方人小󰁶
锥	钅亻󰁷󰀝
嫆	女宀八口
䎅	白羽󰀝
玅	亠幺小丿
櫆	木白󰁜十
蟄	土䒑十虫
矄	目丿一灬
柄	木一冂人
埄	土夂三丨
䟄	土󰁾貝
恡	忄乂厶
墢	土癶弓又
䁡	目門人󰁶
從	彳人人󰁾
㙇	土一󰀓󰁶
遡	䒑凵丿辶
袢	衤󰁧丷󰀟
墣	土业䒑夫
怴	忄戈󰁐󰁀
徝	彳十󰀣󰀝
厐	厂ヒ丶
䗀	虫土八夂
㶁	氵爫寸几
䋱	糹木人人
嗀	士冖一又
勱	艹曰冂力
趁	土󰁾人彡
鋱	釒󰀁心丶
熛	火覀二小
䭄	人良一亅
㿮	ㄇ大皮󰁶
䞭	土󰁾厶夂
㬆	日󰁂󰀁日
䍅	𠂉十凵󰁻
卅	一川󰀵
捅	扌󰁻月丨
笆	⺮巴󰀅
㥢	忄丷西一
䥢	士口䒑金
奢	大土丿日
楢	木丷西一
篓	⺮米女󰀘
㡯	广丿七󰁫
龆	止人凵口
䁮	目󰀄󰁜日
忛	忄几丶󰁶
㷯	火土三󰀟
嘮	口火火力
灞	氵󰀙廿月
祢	礻󰁶⺈小
膡	月丷夫目
饢	人良一󰀔
恴	亠曰心󰁧
犱	犭󰁥九丶
距	口止匚󰁃
嗁	口⺁虍几
巀	山小亻戈
䌐	糹爫目儿
悈	忄戈廾󰀢
㸯	牜󰁦十󰀢
㶂	氵氵󰁺八
䕁	艹丨三木
灛	氵門口十
㗼	口业丷未
䭞	人良罒十
卐	󰁕一丨一
煱	火ㄇ󰁈口
㓔	冫丿󰀽寸
韄	廿󰀜艹又
䇡	⺮宀丁󰀬
㤢	忄月󰀝
椢	木囗王丶
夢	艹罒冖夕
视	礻󰁶ㄇ󰁜
秆	禾干󰀢
媙	女戊一女
駆	󰀋灬匚乂
咮	口丿未󰁶
㒮	二儿一󰀓
㼿	立日土丶
䛾	言幺小
褢	亠白󰁜󰀔
燡	火罒土十
䶝	止󰀆大人
餢	人良立口
悺	忄宀󰃧󰀝
㿕	疒門⺈臼
宝	宀王丶󰁧
惁	木斤心󰁧
䧲	干亻󰁷󰀝
呮	口口八󰁶
䜾	一口䒑日
㛁	女一丷十
媆	女丆冂大
檆	木火火口
㪆	󰁚󰀁丶又
䪆	廿󰀜ㄇ䒑
㓐	冫土八土
庣	广儿󰀪󰀦
䬐	几丿虫女
停	亻󰁸冖丁
姢	女厶月󰀝
槢	木羽白󰀝
㧢	扌囗大󰁶
䧢	阝匚口口
稆	禾口口󰀝
艅	丿󰁪人朩
騆	󰀋灬󰀼口
㪝	木󰀹󰀥又
勂	丿土口力
臱	丿目宀方
釱	釒大󰁶
懱	忄艹罒人
駢	󰀋灬䒑廾
燱	火立曰心
無	𠂉一󰀷灬
觢	三丨刀用
䇱	⺮囗夕󰁧
凱	山一口几
㤲	大人人心
墲	土𠂉一灬
㼯	木日一丶
㐐	女又乙󰀅
惻	忄貝刂󰀢
䲄	󰁢灬𠂉攵
䊅	米夕口󰀝
㧆	扌冂丨󰀢
槆	木艹勹日
劅	罒勹虫刂
幾	幺幺戈人
䛮	言夂卜口
䘁	十戈亻虫
閔	門文󰀦
慡	忄大乂乂
兡	古儿丆日
䦢	門氵土厶
㦢	忄⺮󰁮卩
㴽	氵丿米心
䑐	匚丨󰁃小
醱	西一癶又
膱	月亠丷日
熱	土八土灬
憱	忄󰁸小丶
䆱	宀八氵火
㥲	十󰀣八心
㵕	氵厶厶⺗
馢	禾日戈戈
覢	火火目儿
煡	火󰁬󰀟廴
䞈	貝爫丿灬
㵒	氵弓󰀯貝
嶅	󰁡攵山
單	口口曰十
㵯	氵几一灬
䙁	衤󰁧戈戈
噁	口一󰀚心
㣬	彳口耳󰀝
㨆	扌木木󰁶
䉅	⺮土䒑丶
剅	一口䒑刂
扅	丶尸夕夕
䨓	󰀙囗口󰀘
恱	忄八厶儿
灱	火刀󰁥
遱	󰀻女辶󰀌
橢	木阝月
犡	牜厂艹丶
芡	艹⺈人󰁧
驢	󰀋灬虍皿
旔	方󰁬󰀟廴
㱥	一夕土夂
䄔	礻󰁶丿丶
愻	孑丿幺心
嘦	口八覀女
夗	夕⺋󰁀
㕮	口八乂󰁶
䨿	一大丨三
徾	彳山言攵
㩢	扌艹罒人
䊡	米日罒又
婢	女白丿十
媬	女亻口木
䀱	目夂三丨
㣲	彳山一攵
怱	勹󰁤󰂃心
卦	土土卜󰁶
䚾	言丿士󰀝
䐮	月立丿
潮	氵十日月
㭆	乃一木󰁧
倛	亻󰀎八󰁶
埁	土山人乛
䟁	土󰁾巛木
猅	犭󰁥丨三
歆	立日⺈人
包	勹巳󰁫
䭆	匚丨󰁃艮
稢	禾戈口󰀞
拡	扌广厶󰁶
騢	󰀋灬󰁃又
苡	艹󰁐丶人
嵭	山亠丷方
崠	山木曰󰀝
㯽	木宀󰁅貝
僱	亻丶尸󰁷
䁓	目乂凵夂
烱	火冂八口
䏮	月力󰀪󰁶
揂	扌丷西一
㨢	扌厶月匕
㕔	厂耳王心
勡	覀二小力
䋡	糹人一朩
恬	忄丿古󰀝
䜁	言土土大
圁	囗言󰀌
憃	三人臼心
憄	彳十󰀣心
庩	广人一朩
㙜	󰁸冂口土
䛱	言口丨心
㦅	忄廿儿丨
䯋	󰀾月丶
兄	口儿󰀅
䦅	钅羊䒑口
煄	火丿一土
慄	忄覀木󰁶
馅	⺈󰁐⺈臼
覅	覀女勹󰁤
舡	丿󰁪工󰀝
鈡	釒口丨󰀢
戡	艹三八戈
竢	立厶𠂉大
䚑	罒貝目儿
㹒	牜业䒑夫
嫰	女木口人
憥	火火冖心
㱽	冖󰁜几又
憲	宀三丨心
憴	忄黽󰀝
銔	釒丆卜十
䈡	⺮勹󰁤心
刡	󰁂󰀁刂󰀢
犔	牜气米󰁶
㫢	日土厶󰁶
抔	扌丆卜󰁶
劔	人一口󰂃
㩕	扌󰀙人󰁻
䛑	言心丿󰁥
暹	日亻󰁷辶
東	木曰󰀌
懄	忄廿口力
銲	釒曰干󰀢
芲	艹人ヒ󰀅
㥅	忄爫冖又
櫳	木立月三
奅	大󰁚丿卩
䊲	覀米立
熄	火丿目心
膄	月臼丨又
饅	人良曰又
骢	󰀊󰀞丿心
艡	丿󰁪⺌田
牡	牜土󰀝
扡	扌也󰁀
㲦	十早人毛
䬟	几丿虫刂
㑼	亻田夂口
搿	人一手
䛔	言丆冂〢
雔	亻󰁷亻󰁷
匼	匚人一口
㳯	氵辛󰀢
媢	女󰀰目󰀝
䉡	⺮亠囗一
㪢	臼丨又又
㘑	口士二氺
槹	木白󰀪十
鹆	八人口一
蘅	艹彳󰁢丁
瘅	疒丷󰅐󰀵
昅	日乃󰂃󰁶
嘅	口󰁮󰀄󰁜
䘅	厶月匕虫
㹆	牜冖車󰀢
狲	犭ノ孑小
苲	艹𠂉丨二
勲	丿一曰灬
拲	󰁺八手󰀬
㪳	󰁦十口󰀘
䋲	糹口日乚
弐	一󰀁二丶
䌭	糹艹亻灬
鎡	釒䒑幺幺
䋾	糹大夕夕
勼	勹九󰁫
㺒	犭󰁥羽彡
厡	厂白水󰀦
採	扌爫木󰁶
玡	王󰀄亅丿
莡	艹口󰁾󰁧
䓮	艹󰁻乛攵
彇	弓󰁬十󰀲
㭢	木一廾刂
䎡	丆冂〢火
债	亻主贝󰁶
勭	立曰土力
戔	戈戈󰁧
䎮	二木亠古
闅	門目󰀥又
䡁	丿󰀽三三
病	疒一冂人
藅	艹罒言刂
嗅	口丿目犬
鈲	釒⺁厶󰂃
㗅	口古月󰀝
䗅	虫󰀍󰀖󰁶
戲	虍一口戈
刲	土土刂󰀢
舲	丿󰁪人󰁻
爲	爫丿乛灬
堆	土亻󰁷󰀝
㮤	宀八人木
䩳	廿󰀜宀又
㩳	扌亻󰁷又
䒆	丿󰁪亠攵
鬢	󰂞彡宀貝
廸	由廴󰀌
䇀	宀八廿耳
握	扌尸一土
嬢	女六󰀀󰀔
菡	艹了󰀪凵
珡	王王人󰁧
㦁	車辶心󰁧
艔	丿󰁪广又
䏡	月二小󰁶
㬢	日丷王丶
牔	丿丨一寸
蚣	虫八厶󰁶
杂	九木󰁧
俲	亻六乂力
哟	口纟勹丶
㽕	由󰀊󰀅
螔	虫⺁虍几
瞔	目貝󰁶
鉲	釒上卜󰁶
遄	山丆冂辶
潕	氵𠂉一灬
垔	覀土󰀘
娳	女禾刂󰀢
忆	忄乙󰁀
聄	耳人彡󰁥
碅	石囗禾󰁶
䟑	土󰁾人艹
婣	女󰀲一󰀝
䁄	目土䒑十
䨳	󰀙目儿儿
圑	囗甫寸󰀦
䜑	言一󰀚心
錡	釒大丁口
䃠	石方𠂉󰁾
猡	犭ノ罒夕
茡	艹宀子󰀘
匡	匚王󰀌
挡	扌⺌彐󰀝
㯢	木巳巳八
䌡	糹ㄇ󰁺䒑
㸮	牜八刀󰁥
䭠	人良广八
㝦	宀亻󰁷乃
䳽	山亻󰁷灬
悇	忄人一朩
㞱	山日󰀘
豿	豸勹口󰀝
暨	彐厶󰀂一
䝑	一󰀓立土
扲	扌人丶乛
還	罒一口辶
肾	〢又月󰀘
顿	一凵󰁐贝
鶧	艹ㄇ大灬
姳	女夕口󰀝
悄	忄⺌月󰀝
硅	石土土󰀝
衅	丿皿丷󰀟
駳	󰀋灬丿廴
觳	士冖一又
㡅	冂丨夕夕
䂄	目目目又
崳	山人一刂
䚼	言󰁈丨一
䁇	宀心丿目
鮢	󰁢灬丿未
订	讠丁󰀢
箢	⺮宀夕⺋
捡	扌人一一
卡	上卜󰁧
䍡	罒󰁙󰁴匕
㮢	木亻ユ大
䊁	米丿土儿
鞱	廿󰀜爫臼
螱	尸二小虫
瞱	目艹一󰀟
䞱	土󰁾八口
皰	皮勹巳󰁀
嚰	口广木石
暰	日彳人󰁾
罠	罒󰁂󰀁󰀅
䊽	糹ユ人󰁶
眔	罒󰀫󰁧
勁	一巛工力
僐	亻羊䒑口
㹶	犭󰁥丿廴
䦳	門󰁲丿阝
䃄	石󰁸小󰁶
㤅	󰀄󰁜心󰁧
㦳	十戈土󰀌
臲	丿目木⺋
胄	由月󰀘
榳	木广丿廴
椅	木大丁口
䉽	米丷󰀟󰀢
姅	女丷󰀟󰀢
䇮	⺮亻丿士
䚰	言匕󰁀
䈁	⺮人一艹
噰	口亠󰁲󰁷
虰	虫丁󰀢
癰	疒巛口󰁷
㾕	疒辛󰀵
侕	亻丆冂〢
勪	丿大口力
睔	目人一艹
坔	水土󰀘
靔	月气󰁀
儭	亻立朩儿
傐	亻󰁸冂口
拑	扌甘󰀝
䉁	⺮耳人󰁻
僽	亻禾火心
䃽	礻󰁶十又
㐲	亻大󰁶
㣫	彳丿一土
䯦	󰀾月艹人
㱢	一夕丶艮
㥳	忄厂白小
壅	亠󰁲丿土
女	女女女女
䥳	釒丆󰀐夂
焲	火亠亻丶
鄄	覀土阝󰀢
饳	⺈󰁐凵山
焄	󰁬丿口灬
㜬	女⺈厂言
攰	十又力󰀏
蔰	艹丶尸巴
䋼	糹乃又皿
侺	亻山人乛
䖖	虍几甲󰀵
嗚	口󰁞灬󰁶
䉠	⺮彳山攵
䆽	宀八虍󰀓
䎁	古羽󰀝
徤	彳󰁬󰀟廴
䵱	󰀹土灬口
䱕	󰁢灬𠂉母
㾆	疒冂土󰀌
盰	目干󰀢
庱	广土八夂
廆	广白󰁜厶
仆	亻卜󰁶
细	纟田󰀝
枅	木一廾󰀢
鞅	廿󰀜ㄇ大
螅	虫丿目心
㰢	一廾⺈人
挒	扌一夕刂
尢	乚󰁫
䓡	艹𠂉大口
簢	⺮門文󰁧
擡	扌士口土
铡	钅贝刂󰀢
蓡	艹氵彐又
腲	月田一󰀖
酲	西一口王
挕	扌耳󰀝
雰	󰀙八刀󰁣
嶳	山一󰀓土
䅽	士󰁅几禾
偹	亻丨夂田
冑	由月󰀘
蕔	艹土䒑又
栃	木⺁一󰁡
郔	丿󰀥󰄃阝
䴘	⺁虍几一
們	亻門󰀝
䅭	禾亠丷方
䛰	言日󰁴匕
䂟	力口石󰀘
㻆	王厶月󰀝
妋	女夫󰁶
伆	亻勹󰁤󰁥
弆	土厶廾󰀬
育	亠厶月󰀘
炲	火厶口󰀝
棳	木又又又
㳢	氵丿大󰀯
䂲	土厶力石
㣳	彳𠂉一灬
搡	扌又又木
琡	王上小又
䐡	󰀴冂人人
吡	口󰁴匕󰁀
䌁	糹覀女󰀝
㛝	女貝󰁶
萡	艹氵白󰀘
鐡	釒十戈䒑
閰	門臼󰀌
䀭	目亠ㄥ人
庫	广車󰀵
徸	彳立曰土
佱	人二止󰀘
䄑	礻󰁶󰁚日
䖰	虫⺁󰀕󰁶
㯕	木󰀎八斤
哰	口宀丿󰀟
壐	一八冂土
䞮	土󰁾人朩
鱆	󰁢灬立早
萅	艹一凵日
琅	王丶彐󰀖
搅	扌󰀧冖󰁜
㼆	王火火丶
郲	木人人阝
㽯	田山亻口
烲	扌斤火󰁧
胲	月亠ㄥ人
㑡	亻󰁮卩󰀢
惲	忄冖車󰀢
㢳	弓𠂉󰀕󰁶
䃲	石丿󰁪皿
粢	冫⺈人米
摡	扌󰁮󰀄󰁜
呡	口󰁂󰀁󰁀
䑡	丿󰁪又丶
異	田󰁺八󰁧
咁	口甘󰀝
鲢	󰁢󰀞车辶
葡	艹勹一丶
䒁	丿󰁪羽白
㭟	󰁺八木󰁧
䵝	󰀹土灬乚
㼫	日木一丶
廝	广󰀎八斤
㕰	口毛󰁀
鑔	釒宀󰁯小
泓	氵弓厶󰁶
㷉	尸二火寸
䲩	尸󰁟灬󰀦
鏅	釒亻丨月
蓾	艹󰀥囗󰁘
珅	王曰丨󰀢
貆	豸一曰一
岆	山丿大󰁶
揅	石一廾手
䐅	月尸𠂉大
硳	石土󰁖󰁶
辎	车巛田󰀝
顳	耳耳耳貝
䀲	目𠂉母󰁶
㡳	广󰁚󰀁󰁫
桳	木厶大十
倲	亻木曰󰀝
疡	疒ㄋ󰁤󰀏
薡	艹目󰁕󰁈
鵢	丿󰀽三灬
䊞	米亠丷古
㵢	氵󰀙田󰀝
䖡	虫󰁈丨一
嵢	山人丶口
浢	氵一口䒑
萰	艹木󰀹󰀘
㓁	冖八󰁧
